country;variable;percentile;year;value;age;pop
QV-MER;adiincj992;p0p1;2018;28.8;992;j
QV-MER;adiincj992;p0p1;2019;48.6;992;j
QV-MER;adiincj992;p0p1;2020;47.8;992;j
QV-MER;adiincj992;p0p1;2021;48.4;992;j
QV-MER;adiincj992;p0p100;2018;3241.8;992;j
QV-MER;adiincj992;p0p100;2019;3274.5;992;j
QV-MER;adiincj992;p0p100;2020;3187.1;992;j
QV-MER;adiincj992;p0p100;2021;3194.3;992;j
QV-MER;adiincj992;p0p50;2018;846.5;992;j
QV-MER;adiincj992;p0p50;2019;862.9;992;j
QV-MER;adiincj992;p0p50;2020;835.3;992;j
QV-MER;adiincj992;p0p50;2021;842.7;992;j
QV-MER;adiincj992;p10p100;2018;3589.7;992;j
QV-MER;adiincj992;p10p100;2019;3624.2;992;j
QV-MER;adiincj992;p10p100;2020;3527.5;992;j
QV-MER;adiincj992;p10p100;2021;3535.3;992;j
QV-MER;adiincj992;p10p11;2018;315.2;992;j
QV-MER;adiincj992;p10p11;2019;318.2;992;j
QV-MER;adiincj992;p10p11;2020;307.9;992;j
QV-MER;adiincj992;p10p11;2021;315.1;992;j
QV-MER;adiincj992;p11p100;2018;3626.5;992;j
QV-MER;adiincj992;p11p100;2019;3661.3;992;j
QV-MER;adiincj992;p11p100;2020;3563.7;992;j
QV-MER;adiincj992;p11p100;2021;3571.5;992;j
QV-MER;adiincj992;p11p12;2018;356.4;992;j
QV-MER;adiincj992;p11p12;2019;361.7;992;j
QV-MER;adiincj992;p11p12;2020;353.8;992;j
QV-MER;adiincj992;p11p12;2021;364.1;992;j
QV-MER;adiincj992;p12p100;2018;3663.6;992;j
QV-MER;adiincj992;p12p100;2019;3698.8;992;j
QV-MER;adiincj992;p12p100;2020;3600.2;992;j
QV-MER;adiincj992;p12p100;2021;3607.9;992;j
QV-MER;adiincj992;p12p13;2018;391.2;992;j
QV-MER;adiincj992;p12p13;2019;395.4;992;j
QV-MER;adiincj992;p12p13;2020;382.4;992;j
QV-MER;adiincj992;p12p13;2021;389.1;992;j
QV-MER;adiincj992;p13p100;2018;3701.2;992;j
QV-MER;adiincj992;p13p100;2019;3736.8;992;j
QV-MER;adiincj992;p13p100;2020;3637.2;992;j
QV-MER;adiincj992;p13p100;2021;3644.9;992;j
QV-MER;adiincj992;p13p14;2018;417.9;992;j
QV-MER;adiincj992;p13p14;2019;423.5;992;j
QV-MER;adiincj992;p13p14;2020;414.8;992;j
QV-MER;adiincj992;p13p14;2021;420;992;j
QV-MER;adiincj992;p14p100;2018;3739.4;992;j
QV-MER;adiincj992;p14p100;2019;3775.3;992;j
QV-MER;adiincj992;p14p100;2020;3674.6;992;j
QV-MER;adiincj992;p14p100;2021;3682.4;992;j
QV-MER;adiincj992;p14p15;2018;465.1;992;j
QV-MER;adiincj992;p14p15;2019;468.5;992;j
QV-MER;adiincj992;p14p15;2020;453.6;992;j
QV-MER;adiincj992;p14p15;2021;454.2;992;j
QV-MER;adiincj992;p15p100;2018;3777.9;992;j
QV-MER;adiincj992;p15p100;2019;3814.2;992;j
QV-MER;adiincj992;p15p100;2020;3712.5;992;j
QV-MER;adiincj992;p15p100;2021;3720.4;992;j
QV-MER;adiincj992;p15p16;2018;490.8;992;j
QV-MER;adiincj992;p15p16;2019;495.7;992;j
QV-MER;adiincj992;p15p16;2020;479;992;j
QV-MER;adiincj992;p15p16;2021;484.2;992;j
QV-MER;adiincj992;p16p100;2018;3817.1;992;j
QV-MER;adiincj992;p16p100;2019;3853.7;992;j
QV-MER;adiincj992;p16p100;2020;3751;992;j
QV-MER;adiincj992;p16p100;2021;3758.9;992;j
QV-MER;adiincj992;p16p17;2018;523.2;992;j
QV-MER;adiincj992;p16p17;2019;531.8;992;j
QV-MER;adiincj992;p16p17;2020;519.4;992;j
QV-MER;adiincj992;p16p17;2021;526.9;992;j
QV-MER;adiincj992;p17p100;2018;3856.7;992;j
QV-MER;adiincj992;p17p100;2019;3893.8;992;j
QV-MER;adiincj992;p17p100;2020;3790;992;j
QV-MER;adiincj992;p17p100;2021;3797.9;992;j
QV-MER;adiincj992;p17p18;2018;560.1;992;j
QV-MER;adiincj992;p17p18;2019;565.5;992;j
QV-MER;adiincj992;p17p18;2020;546.1;992;j
QV-MER;adiincj992;p17p18;2021;553.4;992;j
QV-MER;adiincj992;p18p100;2018;3896.9;992;j
QV-MER;adiincj992;p18p100;2019;3934.4;992;j
QV-MER;adiincj992;p18p100;2020;3829.5;992;j
QV-MER;adiincj992;p18p100;2021;3837.4;992;j
QV-MER;adiincj992;p18p19;2018;591.4;992;j
QV-MER;adiincj992;p18p19;2019;601.4;992;j
QV-MER;adiincj992;p18p19;2020;587.8;992;j
QV-MER;adiincj992;p18p19;2021;600.1;992;j
QV-MER;adiincj992;p19p100;2018;3937.8;992;j
QV-MER;adiincj992;p19p100;2019;3975.5;992;j
QV-MER;adiincj992;p19p100;2020;3869.5;992;j
QV-MER;adiincj992;p19p100;2021;3877.4;992;j
QV-MER;adiincj992;p19p20;2018;634.5;992;j
QV-MER;adiincj992;p19p20;2019;640.8;992;j
QV-MER;adiincj992;p19p20;2020;618.8;992;j
QV-MER;adiincj992;p19p20;2021;625.6;992;j
QV-MER;adiincj992;p1p100;2018;3274.2;992;j
QV-MER;adiincj992;p1p100;2019;3307.1;992;j
QV-MER;adiincj992;p1p100;2020;3218.9;992;j
QV-MER;adiincj992;p1p100;2021;3226.1;992;j
QV-MER;adiincj992;p1p2;2018;29.9;992;j
QV-MER;adiincj992;p1p2;2019;70.4;992;j
QV-MER;adiincj992;p1p2;2020;67.5;992;j
QV-MER;adiincj992;p1p2;2021;67.2;992;j
QV-MER;adiincj992;p20p100;2018;3979;992;j
QV-MER;adiincj992;p20p100;2019;4017.2;992;j
QV-MER;adiincj992;p20p100;2020;3910.2;992;j
QV-MER;adiincj992;p20p100;2021;3918;992;j
QV-MER;adiincj992;p20p21;2018;662.6;992;j
QV-MER;adiincj992;p20p21;2019;670.2;992;j
QV-MER;adiincj992;p20p21;2020;653.3;992;j
QV-MER;adiincj992;p20p21;2021;662.3;992;j
QV-MER;adiincj992;p21p100;2018;4021;992;j
QV-MER;adiincj992;p21p100;2019;4059.6;992;j
QV-MER;adiincj992;p21p100;2020;3951.4;992;j
QV-MER;adiincj992;p21p100;2021;3959.2;992;j
QV-MER;adiincj992;p21p22;2018;699.2;992;j
QV-MER;adiincj992;p21p22;2019;715.2;992;j
QV-MER;adiincj992;p21p22;2020;691.5;992;j
QV-MER;adiincj992;p21p22;2021;693.8;992;j
QV-MER;adiincj992;p22p100;2018;4063.6;992;j
QV-MER;adiincj992;p22p100;2019;4102.4;992;j
QV-MER;adiincj992;p22p100;2020;3993.2;992;j
QV-MER;adiincj992;p22p100;2021;4001.1;992;j
QV-MER;adiincj992;p22p23;2018;727.1;992;j
QV-MER;adiincj992;p22p23;2019;739.6;992;j
QV-MER;adiincj992;p22p23;2020;717.8;992;j
QV-MER;adiincj992;p22p23;2021;726.9;992;j
QV-MER;adiincj992;p23p100;2018;4106.9;992;j
QV-MER;adiincj992;p23p100;2019;4146.1;992;j
QV-MER;adiincj992;p23p100;2020;4035.7;992;j
QV-MER;adiincj992;p23p100;2021;4043.6;992;j
QV-MER;adiincj992;p23p24;2018;762;992;j
QV-MER;adiincj992;p23p24;2019;775;992;j
QV-MER;adiincj992;p23p24;2020;764.8;992;j
QV-MER;adiincj992;p23p24;2021;766.2;992;j
QV-MER;adiincj992;p24p100;2018;4151;992;j
QV-MER;adiincj992;p24p100;2019;4190.5;992;j
QV-MER;adiincj992;p24p100;2020;4078.8;992;j
QV-MER;adiincj992;p24p100;2021;4086.8;992;j
QV-MER;adiincj992;p24p25;2018;799.8;992;j
QV-MER;adiincj992;p24p25;2019;807.6;992;j
QV-MER;adiincj992;p24p25;2020;790.1;992;j
QV-MER;adiincj992;p24p25;2021;791.1;992;j
QV-MER;adiincj992;p25p100;2018;4195.6;992;j
QV-MER;adiincj992;p25p100;2019;4235.6;992;j
QV-MER;adiincj992;p25p100;2020;4122.6;992;j
QV-MER;adiincj992;p25p100;2021;4130.7;992;j
QV-MER;adiincj992;p25p26;2018;829.1;992;j
QV-MER;adiincj992;p25p26;2019;840.8;992;j
QV-MER;adiincj992;p25p26;2020;824.4;992;j
QV-MER;adiincj992;p25p26;2021;838.4;992;j
QV-MER;adiincj992;p26p100;2018;4241.1;992;j
QV-MER;adiincj992;p26p100;2019;4281.4;992;j
QV-MER;adiincj992;p26p100;2020;4167.2;992;j
QV-MER;adiincj992;p26p100;2021;4175.2;992;j
QV-MER;adiincj992;p26p27;2018;877.6;992;j
QV-MER;adiincj992;p26p27;2019;884.7;992;j
QV-MER;adiincj992;p26p27;2020;856.3;992;j
QV-MER;adiincj992;p26p27;2021;867.2;992;j
QV-MER;adiincj992;p27p100;2018;4287.2;992;j
QV-MER;adiincj992;p27p100;2019;4328;992;j
QV-MER;adiincj992;p27p100;2020;4212.5;992;j
QV-MER;adiincj992;p27p100;2021;4220.5;992;j
QV-MER;adiincj992;p27p28;2018;905.7;992;j
QV-MER;adiincj992;p27p28;2019;916.5;992;j
QV-MER;adiincj992;p27p28;2020;896.5;992;j
QV-MER;adiincj992;p27p28;2021;914;992;j
QV-MER;adiincj992;p28p100;2018;4334.2;992;j
QV-MER;adiincj992;p28p100;2019;4375.4;992;j
QV-MER;adiincj992;p28p100;2020;4258.6;992;j
QV-MER;adiincj992;p28p100;2021;4266.4;992;j
QV-MER;adiincj992;p28p29;2018;954.3;992;j
QV-MER;adiincj992;p28p29;2019;964.7;992;j
QV-MER;adiincj992;p28p29;2020;933.2;992;j
QV-MER;adiincj992;p28p29;2021;944.7;992;j
QV-MER;adiincj992;p29p100;2018;4381.8;992;j
QV-MER;adiincj992;p29p100;2019;4423.4;992;j
QV-MER;adiincj992;p29p100;2020;4305.4;992;j
QV-MER;adiincj992;p29p100;2021;4313.2;992;j
QV-MER;adiincj992;p29p30;2018;984;992;j
QV-MER;adiincj992;p29p30;2019;996.8;992;j
QV-MER;adiincj992;p29p30;2020;973.9;992;j
QV-MER;adiincj992;p29p30;2021;991.7;992;j
QV-MER;adiincj992;p2p100;2018;3307.4;992;j
QV-MER;adiincj992;p2p100;2019;3340.1;992;j
QV-MER;adiincj992;p2p100;2020;3251;992;j
QV-MER;adiincj992;p2p100;2021;3258.3;992;j
QV-MER;adiincj992;p2p3;2018;30.4;992;j
QV-MER;adiincj992;p2p3;2019;70.6;992;j
QV-MER;adiincj992;p2p3;2020;67.5;992;j
QV-MER;adiincj992;p2p3;2021;67.2;992;j
QV-MER;adiincj992;p30p100;2018;4430.3;992;j
QV-MER;adiincj992;p30p100;2019;4472.3;992;j
QV-MER;adiincj992;p30p100;2020;4353;992;j
QV-MER;adiincj992;p30p100;2021;4360.7;992;j
QV-MER;adiincj992;p30p31;2018;1035.2;992;j
QV-MER;adiincj992;p30p31;2019;1045.3;992;j
QV-MER;adiincj992;p30p31;2020;1013;992;j
QV-MER;adiincj992;p30p31;2021;1025.2;992;j
QV-MER;adiincj992;p31p100;2018;4479.5;992;j
QV-MER;adiincj992;p31p100;2019;4522;992;j
QV-MER;adiincj992;p31p100;2020;4401.4;992;j
QV-MER;adiincj992;p31p100;2021;4409;992;j
QV-MER;adiincj992;p31p32;2018;1066.8;992;j
QV-MER;adiincj992;p31p32;2019;1081;992;j
QV-MER;adiincj992;p31p32;2020;1058.3;992;j
QV-MER;adiincj992;p31p32;2021;1072.3;992;j
QV-MER;adiincj992;p32p100;2018;4529.7;992;j
QV-MER;adiincj992;p32p100;2019;4572.6;992;j
QV-MER;adiincj992;p32p100;2020;4450.6;992;j
QV-MER;adiincj992;p32p100;2021;4458.1;992;j
QV-MER;adiincj992;p32p33;2018;1118.5;992;j
QV-MER;adiincj992;p32p33;2019;1130.1;992;j
QV-MER;adiincj992;p32p33;2020;1095.7;992;j
QV-MER;adiincj992;p32p33;2021;1106.7;992;j
QV-MER;adiincj992;p33p100;2018;4580.6;992;j
QV-MER;adiincj992;p33p100;2019;4624;992;j
QV-MER;adiincj992;p33p100;2020;4500.7;992;j
QV-MER;adiincj992;p33p100;2021;4508.1;992;j
QV-MER;adiincj992;p33p34;2018;1155.7;992;j
QV-MER;adiincj992;p33p34;2019;1170.5;992;j
QV-MER;adiincj992;p33p34;2020;1152.8;992;j
QV-MER;adiincj992;p33p34;2021;1156.1;992;j
QV-MER;adiincj992;p34p100;2018;4632.5;992;j
QV-MER;adiincj992;p34p100;2019;4676.3;992;j
QV-MER;adiincj992;p34p100;2020;4551.4;992;j
QV-MER;adiincj992;p34p100;2021;4558.9;992;j
QV-MER;adiincj992;p34p35;2018;1206;992;j
QV-MER;adiincj992;p34p35;2019;1218.9;992;j
QV-MER;adiincj992;p34p35;2020;1187.9;992;j
QV-MER;adiincj992;p34p35;2021;1196.2;992;j
QV-MER;adiincj992;p35p100;2018;4685.2;992;j
QV-MER;adiincj992;p35p100;2019;4729.5;992;j
QV-MER;adiincj992;p35p100;2020;4603.1;992;j
QV-MER;adiincj992;p35p100;2021;4610.6;992;j
QV-MER;adiincj992;p35p36;2018;1248.4;992;j
QV-MER;adiincj992;p35p36;2019;1260.3;992;j
QV-MER;adiincj992;p35p36;2020;1215.7;992;j
QV-MER;adiincj992;p35p36;2021;1236;992;j
QV-MER;adiincj992;p36p100;2018;4738.9;992;j
QV-MER;adiincj992;p36p100;2019;4783.7;992;j
QV-MER;adiincj992;p36p100;2020;4656.1;992;j
QV-MER;adiincj992;p36p100;2021;4663.3;992;j
QV-MER;adiincj992;p36p37;2018;1279.4;992;j
QV-MER;adiincj992;p36p37;2019;1300.8;992;j
QV-MER;adiincj992;p36p37;2020;1251.8;992;j
QV-MER;adiincj992;p36p37;2021;1263.9;992;j
QV-MER;adiincj992;p37p100;2018;4793.9;992;j
QV-MER;adiincj992;p37p100;2019;4839;992;j
QV-MER;adiincj992;p37p100;2020;4710.1;992;j
QV-MER;adiincj992;p37p100;2021;4717.3;992;j
QV-MER;adiincj992;p37p38;2018;1309.7;992;j
QV-MER;adiincj992;p37p38;2019;1335.6;992;j
QV-MER;adiincj992;p37p38;2020;1290.5;992;j
QV-MER;adiincj992;p37p38;2021;1295;992;j
QV-MER;adiincj992;p38p100;2018;4850;992;j
QV-MER;adiincj992;p38p100;2019;4895.5;992;j
QV-MER;adiincj992;p38p100;2020;4765.2;992;j
QV-MER;adiincj992;p38p100;2021;4772.5;992;j
QV-MER;adiincj992;p38p39;2018;1350.4;992;j
QV-MER;adiincj992;p38p39;2019;1365.3;992;j
QV-MER;adiincj992;p38p39;2020;1327.7;992;j
QV-MER;adiincj992;p38p39;2021;1329.8;992;j
QV-MER;adiincj992;p39p100;2018;4907.4;992;j
QV-MER;adiincj992;p39p100;2019;4953.4;992;j
QV-MER;adiincj992;p39p100;2020;4821.6;992;j
QV-MER;adiincj992;p39p100;2021;4828.9;992;j
QV-MER;adiincj992;p39p40;2018;1387.1;992;j
QV-MER;adiincj992;p39p40;2019;1411.6;992;j
QV-MER;adiincj992;p39p40;2020;1365.4;992;j
QV-MER;adiincj992;p39p40;2021;1366;992;j
QV-MER;adiincj992;p3p100;2018;3341.1;992;j
QV-MER;adiincj992;p3p100;2019;3373.8;992;j
QV-MER;adiincj992;p3p100;2020;3283.8;992;j
QV-MER;adiincj992;p3p100;2021;3291.2;992;j
QV-MER;adiincj992;p3p4;2018;48.4;992;j
QV-MER;adiincj992;p3p4;2019;70.6;992;j
QV-MER;adiincj992;p3p4;2020;67.6;992;j
QV-MER;adiincj992;p3p4;2021;67.2;992;j
QV-MER;adiincj992;p40p100;2018;4966.1;992;j
QV-MER;adiincj992;p40p100;2019;5012.4;992;j
QV-MER;adiincj992;p40p100;2020;4879.2;992;j
QV-MER;adiincj992;p40p100;2021;4886.7;992;j
QV-MER;adiincj992;p40p41;2018;1425.7;992;j
QV-MER;adiincj992;p40p41;2019;1458.1;992;j
QV-MER;adiincj992;p40p41;2020;1398.5;992;j
QV-MER;adiincj992;p40p41;2021;1403.2;992;j
QV-MER;adiincj992;p41p100;2018;5026.1;992;j
