country;variable;percentile;year;value;age;pop
QV;ehfcari999;p0p100;1990;27.5139666416569;999;i
QV;ehfcari999;p0p100;1991;28.5179404022435;999;i
QV;ehfcari999;p0p100;1992;30.8113948627133;999;i
QV;ehfcari999;p0p100;1993;31.5444531963215;999;i
QV;ehfcari999;p0p100;1994;26.9199952847902;999;i
QV;ehfcari999;p0p100;1995;27.0401309979476;999;i
QV;ehfcari999;p0p100;1996;29.3180939283983;999;i
QV;ehfcari999;p0p100;1997;35.6258948655484;999;i
QV;ehfcari999;p0p100;1998;37.9547593540258;999;i
QV;ehfcari999;p0p100;1999;32.5820256067716;999;i
QV;ehfcari999;p0p100;2000;33.0357178298014;999;i
QV;ehfcari999;p0p100;2001;44.5555802100387;999;i
QV;ehfcari999;p0p100;2002;49.0739937399289;999;i
QV;ehfcari999;p0p100;2003;54.3792172426125;999;i
QV;ehfcari999;p0p100;2004;60.5261347937788;999;i
QV;ehfcari999;p0p100;2005;68.5389858837284;999;i
QV;ehfcari999;p0p100;2006;58.2377015190793;999;i
QV;ehfcari999;p0p100;2007;69.0862727583873;999;i
QV;ehfcari999;p0p100;2008;69.890695277921;999;i
QV;ehfcari999;p0p100;2009;60.6996290841663;999;i
QV;ehfcari999;p0p100;2010;71.7196511201262;999;i
QV;ehfcari999;p0p100;2011;76.5114731039891;999;i
QV;ehfcari999;p0p100;2012;71.8798680194919;999;i
QV;ehfcari999;p0p100;2013;95.2820852396518;999;i
QV;ehfcari999;p0p100;2014;97.2173394089319;999;i
QV;ehfcari999;p0p100;2015;101.113297211838;999;i
QV;ehfcari999;p0p100;2016;103.993734972051;999;i
QV;ehfcari999;p0p100;2017;104.555117210962;999;i
QV;ehfcari999;p0p100;2018;104.600628053282;999;i
QV;ehfcari999;p0p100;2019;107.684290612623;999;i
QV;ehfcari999;p0p100;2020;104.992183347308;999;i
QV;ehfghdi999;p0p100;1990;8.56342324313424;999;i
QV;ehfghdi999;p0p100;1991;9.20111891950104;999;i
QV;ehfghdi999;p0p100;1992;9.73202126874329;999;i
QV;ehfghdi999;p0p100;1993;9.94240625675651;999;i
QV;ehfghdi999;p0p100;1994;8.64731958387825;999;i
QV;ehfghdi999;p0p100;1995;8.64266633128069;999;i
QV;ehfghdi999;p0p100;1996;9.41091316345903;999;i
QV;ehfghdi999;p0p100;1997;10.0276024824473;999;i
QV;ehfghdi999;p0p100;1998;9.63927845688022;999;i
QV;ehfghdi999;p0p100;1999;10.2650353793576;999;i
QV;ehfghdi999;p0p100;2000;16.1484250377215;999;i
QV;ehfghdi999;p0p100;2001;17.7100246441335;999;i
QV;ehfghdi999;p0p100;2002;19.1393589015191;999;i
QV;ehfghdi999;p0p100;2003;20.2219655834547;999;i
QV;ehfghdi999;p0p100;2004;20.326219823;999;i
QV;ehfghdi999;p0p100;2005;19.2270254130155;999;i
QV;ehfghdi999;p0p100;2006;18.2847046242484;999;i
QV;ehfghdi999;p0p100;2007;17.4927802995;999;i
QV;ehfghdi999;p0p100;2008;18.5616132397123;999;i
QV;ehfghdi999;p0p100;2009;19.7082241592685;999;i
QV;ehfghdi999;p0p100;2010;20.9392293361614;999;i
QV;ehfghdi999;p0p100;2011;22.2619105196;999;i
QV;ehfghdi999;p0p100;2012;21.9619477669551;999;i
QV;ehfghdi999;p0p100;2013;21.7787995603102;999;i
QV;ehfghdi999;p0p100;2014;21.7209736987;999;i
QV;ehfghdi999;p0p100;2015;21.5890097690886;999;i
QV;ehfghdi999;p0p100;2016;22.9276802604852;999;i
QV;ehfghdi999;p0p100;2017;24.1120421680912;999;i
QV;ehfghdi999;p0p100;2018;25.2082030969418;999;i
QV;ehfghdi999;p0p100;2019;25.9660395352659;999;i
QV;ehfghdi999;p0p100;2020;25.3168885468843;999;i
QV;ehfghgi999;p0p100;1980;287.296453474539;999;i
QV;ehfghgi999;p0p100;1981;240.353161225472;999;i
QV;ehfghgi999;p0p100;1982;228.313955627709;999;i
QV;ehfghgi999;p0p100;1983;220.364953883563;999;i
QV;ehfghgi999;p0p100;1984;234.291737432141;999;i
QV;ehfghgi999;p0p100;1985;236.841446065443;999;i
QV;ehfghgi999;p0p100;1986;229.652023260369;999;i
QV;ehfghgi999;p0p100;1987;209.27748650241;999;i
QV;ehfghgi999;p0p100;1988;231.819949559723;999;i
QV;ehfghgi999;p0p100;1989;216.917618962248;999;i
QV;ehfghgi999;p0p100;1990;217.190825139128;999;i
QV;ehfghgi999;p0p100;1991;225.102533584029;999;i
QV;ehfghgi999;p0p100;1992;232.044112370602;999;i
QV;ehfghgi999;p0p100;1993;238.830527961137;999;i
QV;ehfghgi999;p0p100;1994;217.220119652259;999;i
QV;ehfghgi999;p0p100;1995;227.970617479801;999;i
QV;ehfghgi999;p0p100;1996;246.887775399746;999;i
QV;ehfghgi999;p0p100;1997;243.768820134368;999;i
QV;ehfghgi999;p0p100;1998;232.306816569268;999;i
QV;ehfghgi999;p0p100;1999;220.828383549481;999;i
QV;ehfghgi999;p0p100;2000;212.288417677902;999;i
QV;ehfghgi999;p0p100;2001;242.722471497803;999;i
QV;ehfghgi999;p0p100;2002;250.122212518305;999;i
QV;ehfghgi999;p0p100;2003;273.898483905147;999;i
QV;ehfghgi999;p0p100;2004;283.894740324936;999;i
QV;ehfghgi999;p0p100;2005;300.730000866389;999;i
QV;ehfghgi999;p0p100;2006;290.899392009148;999;i
QV;ehfghgi999;p0p100;2007;306.424238772054;999;i
QV;ehfghgi999;p0p100;2008;313.400040980188;999;i
QV;ehfghgi999;p0p100;2009;307.249570575987;999;i
QV;ehfghgi999;p0p100;2010;335.58064704175;999;i
QV;ehfghgi999;p0p100;2011;348.101321565195;999;i
QV;ehfghgi999;p0p100;2012;351.413813432648;999;i
QV;ehfghgi999;p0p100;2013;379.64195832085;999;i
QV;ehfghgi999;p0p100;2014;382.624273588175;999;i
QV;ehfghgi999;p0p100;2015;387.379014882461;999;i
QV;ehfghgi999;p0p100;2016;404.559341894313;999;i
QV;ehfghgi999;p0p100;2017;413.353522723208;999;i
QV;ehfghgi999;p0p100;2018;418.633286633029;999;i
QV;ehfghgi999;p0p100;2019;433.993433157997;999;i
QV;ehfghgi999;p0p100;2020;423.143597329047;999;i
QV;ehfghni999;p0p100;1990;189.52290362732;999;i
QV;ehfghni999;p0p100;1991;196.788267445345;999;i
QV;ehfghni999;p0p100;1992;201.879739952727;999;i
QV;ehfghni999;p0p100;1993;207.726966515192;999;i
QV;ehfghni999;p0p100;1994;186.536235691028;999;i
QV;ehfghni999;p0p100;1995;196.983346269104;999;i
QV;ehfghni999;p0p100;1996;214.015847229322;999;i
QV;ehfghni999;p0p100;1997;209.587550214168;999;i
QV;ehfghni999;p0p100;1998;195.882794682978;999;i
QV;ehfghni999;p0p100;1999;182.234650568368;999;i
QV;ehfghni999;p0p100;2000;167.66593341637;999;i
QV;ehfghni999;p0p100;2001;193.005597871035;999;i
QV;ehfghni999;p0p100;2002;195.351472755511;999;i
QV;ehfghni999;p0p100;2003;214.686717813058;999;i
QV;ehfghni999;p0p100;2004;218.442052356074;999;i
QV;ehfghni999;p0p100;2005;234.22958011925;999;i
QV;ehfghni999;p0p100;2006;222.174115360462;999;i
QV;ehfghni999;p0p100;2007;235.948316618438;999;i
QV;ehfghni999;p0p100;2008;237.422669215709;999;i
QV;ehfghni999;p0p100;2009;229.483186814774;999;i
QV;ehfghni999;p0p100;2010;250.391140429346;999;i
QV;ehfghni999;p0p100;2011;260.216439815751;999;i
QV;ehfghni999;p0p100;2012;261.876295197809;999;i
QV;ehfghni999;p0p100;2013;286.624515830181;999;i
QV;ehfghni999;p0p100;2014;287.820151354327;999;i
QV;ehfghni999;p0p100;2015;291.272584205156;999;i
QV;ehfghni999;p0p100;2016;301.103179310316;999;i
QV;ehfghni999;p0p100;2017;307.28400670359;999;i
QV;ehfghni999;p0p100;2018;309.479194184513;999;i
QV;ehfghni999;p0p100;2019;318.869288959629;999;i
QV;ehfghni999;p0p100;2020;310.897556735638;999;i
QV;ehfghoi999;p0p100;1990;176.986905150019;999;i
QV;ehfghoi999;p0p100;1991;183.520654973111;999;i
QV;ehfghoi999;p0p100;1992;187.324618899984;999;i
QV;ehfghoi999;p0p100;1993;193.08615655432;999;i
QV;ehfghoi999;p0p100;1994;177.166586843313;999;i
QV;ehfghoi999;p0p100;1995;187.83158521468;999;i
QV;ehfghoi999;p0p100;1996;203.33990704376;999;i
QV;ehfghoi999;p0p100;1997;193.280304270047;999;i
QV;ehfghoi999;p0p100;1998;179.201496595959;999;i
QV;ehfghoi999;p0p100;1999;172.303648084754;999;i
QV;ehfghoi999;p0p100;2000;157.863765344691;999;i
QV;ehfghoi999;p0p100;2001;175.009444460046;999;i
QV;ehfghoi999;p0p100;2002;176.23821072335;999;i
QV;ehfghoi999;p0p100;2003;193.22366390645;999;i
QV;ehfghoi999;p0p100;2004;196.587860092688;999;i
QV;ehfghoi999;p0p100;2005;206.600364060171;999;i
QV;ehfghoi999;p0p100;2006;207.806592628254;999;i
QV;ehfghoi999;p0p100;2007;212.876040090544;999;i
QV;ehfghoi999;p0p100;2008;217.633824181154;999;i
QV;ehfghoi999;p0p100;2009;219.524439566856;999;i
QV;ehfghoi999;p0p100;2010;234.66230689607;999;i
QV;ehfghoi999;p0p100;2011;240.066063782655;999;i
QV;ehfghoi999;p0p100;2012;247.510220135483;999;i
QV;ehfghoi999;p0p100;2013;251.800899041659;999;i
QV;ehfghoi999;p0p100;2014;251.759838126323;999;i
QV;ehfghoi999;p0p100;2015;253.354835978006;999;i
QV;ehfghoi999;p0p100;2016;265.727904097117;999;i
QV;ehfghoi999;p0p100;2017;271.79217160001;999;i
QV;ehfghoi999;p0p100;2018;275.365449561619;999;i
QV;ehfghoi999;p0p100;2019;286.078571655943;999;i
QV;ehfghoi999;p0p100;2020;278.926607364545;999;i
QV;enfcari999;p0p100;1990;62.4516506863984;999;i
QV;enfcari999;p0p100;1991;65.178703623993;999;i
QV;enfcari999;p0p100;1992;69.0406467140242;999;i
QV;enfcari999;p0p100;1993;70.8635449153426;999;i
QV;enfcari999;p0p100;1994;64.2298673434978;999;i
QV;enfcari999;p0p100;1995;62.9661855905137;999;i
QV;enfcari999;p0p100;1996;67.7604075700539;999;i
QV;enfcari999;p0p100;1997;76.4431586513078;999;i
QV;enfcari999;p0p100;1998;78.5596558637891;999;i
QV;enfcari999;p0p100;1999;70.273457368046;999;i
QV;enfcari999;p0p100;2000;80.3917968161353;999;i
QV;enfcari999;p0p100;2001;101.013395085707;999;i
QV;enfcari999;p0p100;2002;109.953886480709;999;i
QV;enfcari999;p0p100;2003;120.276306630473;999;i
QV;enfcari999;p0p100;2004;129.708788639298;999;i
QV;enfcari999;p0p100;2005;140.385465798097;999;i
QV;enfcari999;p0p100;2006;123.921674408294;999;i
QV;enfcari999;p0p100;2007;141.732743249883;999;i
QV;enfcari999;p0p100;2008;145.634491492811;999;i
QV;enfcari999;p0p100;2009;134.779792810793;999;i
QV;enfcari999;p0p100;2010;154.787104741567;999;i
QV;enfcari999;p0p100;2011;167.400651100588;999;i
QV;enfcari999;p0p100;2012;161.411927493169;999;i
QV;enfcari999;p0p100;2013;200.812305514342;999;i
QV;enfcari999;p0p100;2014;206.062558272549;999;i
QV;enfcari999;p0p100;2015;208.381962955094;999;i
QV;enfcari999;p0p100;2016;215.601136862011;999;i
QV;enfcari999;p0p100;2017;219.853228209336;999;i
QV;enfcari999;p0p100;2018;221.894933008082;999;i
QV;enfcari999;p0p100;2019;229.055469590977;999;i
QV;enfcari999;p0p100;2020;223.329082851203;999;i
QV;enfghgi999;p0p100;1980;472.93635395822;999;i
QV;enfghgi999;p0p100;1981;396.096482009516;999;i
QV;enfghgi999;p0p100;1982;367.30217480549;999;i
QV;enfghgi999;p0p100;1983;344.298509165502;999;i
QV;enfghgi999;p0p100;1984;358.044240428299;999;i
QV;enfghgi999;p0p100;1985;362.347633476286;999;i
QV;enfghgi999;p0p100;1986;350.245453318531;999;i
QV;enfghgi999;p0p100;1987;314.24388955943;999;i
QV;enfghgi999;p0p100;1988;346.417942954291;999;i
QV;enfghgi999;p0p100;1989;324.801815138516;999;i
QV;enfghgi999;p0p100;1990;324.440846056647;999;i
QV;enfghgi999;p0p100;1991;337.080628837923;999;i
QV;enfghgi999;p0p100;1992;344.947497965507;999;i
QV;enfghgi999;p0p100;1993;357.976337411776;999;i
QV;enfghgi999;p0p100;1994;341.729274662265;999;i
QV;enfghgi999;p0p100;1995;353.507824519196;999;i
QV;enfghgi999;p0p100;1996;380.043927495218;999;i
QV;enfghgi999;p0p100;1997;366.182932448374;999;i
QV;enfghgi999;p0p100;1998;333.766537979096;999;i
QV;enfghgi999;p0p100;1999;312.460687724958;999;i
QV;enfghgi999;p0p100;2000;303.28875853792;999;i
QV;enfghgi999;p0p100;2001;348.434582533216;999;i
QV;enfghgi999;p0p100;2002;356.704168401825;999;i
QV;enfghgi999;p0p100;2003;392.264374804397;999;i
QV;enfghgi999;p0p100;2004;403.823637405676;999;i
QV;enfghgi999;p0p100;2005;428.055808650171;999;i
QV;enfghgi999;p0p100;2006;414.141708899103;999;i
QV;enfghgi999;p0p100;2007;439.238121931293;999;i
QV;enfghgi999;p0p100;2008;449.803100398616;999;i
QV;enfghgi999;p0p100;2009;443.278243455336;999;i
QV;enfghgi999;p0p100;2010;486.188387454048;999;i
QV;enfghgi999;p0p100;2011;507.019239893403;999;i
QV;enfghgi999;p0p100;2012;514.79946577827;999;i
QV;enfghgi999;p0p100;2013;557.977973858441;999;i
QV;enfghgi999;p0p100;2014;562.909114540183;999;i
QV;enfghgi999;p0p100;2015;566.612748577564;999;i
QV;enfghgi999;p0p100;2016;590.908665108365;999;i
QV;enfghgi999;p0p100;2017;603.499061306922;999;i
QV;enfghgi999;p0p100;2018;609.611242288954;999;i
QV;enfghgi999;p0p100;2019;631.646377986624;999;i
QV;enfghgi999;p0p100;2020;615.855218536959;999;i
QV;enfghoi999;p0p100;1990;261.989195370249;999;i
QV;enfghoi999;p0p100;1991;271.90192521393;999;i
QV;enfghoi999;p0p100;1992;275.906851251483;999;i
QV;enfghoi999;p0p100;1993;287.112792496433;999;i
QV;enfghoi999;p0p100;1994;277.499407318767;999;i
QV;enfghoi999;p0p100;1995;290.541638928683;999;i
QV;enfghoi999;p0p100;1996;312.283519925164;999;i
QV;enfghoi999;p0p100;1997;289.739773797066;999;i
QV;enfghoi999;p0p100;1998;255.206882115307;999;i
QV;enfghoi999;p0p100;1999;242.187230356912;999;i
QV;enfghoi999;p0p100;2000;222.896961721785;999;i
QV;enfghoi999;p0p100;2001;247.421187447509;999;i
QV;enfghoi999;p0p100;2002;246.750281921115;999;i
QV;enfghoi999;p0p100;2003;271.988068173924;999;i
QV;enfghoi999;p0p100;2004;274.114848766378;999;i
QV;enfghoi999;p0p100;2005;287.670342852074;999;i
QV;enfghoi999;p0p100;2006;290.220034490808;999;i
QV;enfghoi999;p0p100;2007;297.50537868141;999;i
QV;enfghoi999;p0p100;2008;304.168608905805;999;i
QV;enfghoi999;p0p100;2009;308.498450644543;999;i
QV;enfghoi999;p0p100;2010;331.401282712482;999;i
QV;enfghoi999;p0p100;2011;339.618588792815;999;i
QV;enfghoi999;p0p100;2012;353.387538285101;999;i
QV;enfghoi999;p0p100;2013;357.165668344099;999;i
QV;enfghoi999;p0p100;2014;356.846556267634;999;i
QV;enfghoi999;p0p100;2015;358.230785622471;999;i
QV;enfghoi999;p0p100;2016;375.307528246354;999;i
QV;enfghoi999;p0p100;2017;383.645833097586;999;i
QV;enfghoi999;p0p100;2018;387.716309280872;999;i
QV;enfghoi999;p0p100;2019;402.590908395647;999;i
QV;enfghoi999;p0p100;2020;392.526135685756;999;i
QV;enncari999;p0p100;1990;4.89584972639838;999;i
QV;enncari999;p0p100;1991;4.12815751199297;999;i
QV;enncari999;p0p100;1992;4.49188889002424;999;i
QV;enncari999;p0p100;1993;5.09020496334261;999;i
QV;enncari999;p0p100;1994;7.63481075149782;999;i
QV;enncari999;p0p100;1995;5.91207762251367;999;i
QV;enncari999;p0p100;1996;4.85153677005388;999;i
QV;enncari999;p0p100;1997;9.38890842730781;999;i
QV;enncari999;p0p100;1998;13.6901678797891;999;i
QV;enncari999;p0p100;1999;2.52252285604602;999;i
QV;enncari999;p0p100;2000;-26.4065243678647;999;i
QV;enncari999;p0p100;2001;-15.9371908822932;999;i
QV;enncari999;p0p100;2002;-15.7350656632909;999;i
QV;enncari999;p0p100;2003;-11.2536963935268;999;i
QV;enncari999;p0p100;2004;-3.40645481670234;999;i
QV;enncari999;p0p100;2005;0.117597542096644;999;i
QV;enncari999;p0p100;2006;-10.790643559706;999;i
QV;enncari999;p0p100;2007;8.56391566588286;999;i
QV;enncari999;p0p100;2008;12.2480697488108;999;i
QV;enncari999;p0p100;2009;22.0903545867931;999;i
QV;enncari999;p0p100;2010;-3.2093098024334;999;i
QV;enncari999;p0p100;2011;-11.239761651412;999;i
QV;enncari999;p0p100;2012;-9.74436725883118;999;i
QV;enncari999;p0p100;2013;21.9082296103419;999;i
QV;enncari999;p0p100;2014;17.5033692005492;999;i
QV;enncari999;p0p100;2015;30.2953459630934;999;i
QV;enncari999;p0p100;2016;29.2221956940106;999;i
QV;enncari999;p0p100;2017;20.4518063853362;999;i
QV;enncari999;p0p100;2018;13.4676076640822;999;i
QV;enncari999;p0p100;2019;13.9287771126528;999;i
QV;enncari999;p0p100;2020;13.5805576848365;999;i
QV;ennghgi999;p0p100;1980;-11.1676460417801;999;i
QV;ennghgi999;p0p100;1981;1.3964820095155;999;i
QV;ennghgi999;p0p100;1982;-5.73882519450959;999;i
QV;ennghgi999;p0p100;1983;-15.7724908344975;999;i
QV;ennghgi999;p0p100;1984;-24.4247595717012;999;i
