country;variable;percentile;year;value;age;pop
QY-MER;adiincj992;p0p1;2018;-94.9;992;j
QY-MER;adiincj992;p0p1;2019;-115.2;992;j
QY-MER;adiincj992;p0p1;2020;207.1;992;j
QY-MER;adiincj992;p0p1;2021;188.4;992;j
QY-MER;adiincj992;p0p100;2018;33643.3;992;j
QY-MER;adiincj992;p0p100;2019;33675.7;992;j
QY-MER;adiincj992;p0p100;2020;31288.6;992;j
QY-MER;adiincj992;p0p100;2021;32985.3;992;j
QY-MER;adiincj992;p0p50;2018;14682.7;992;j
QY-MER;adiincj992;p0p50;2019;14922.4;992;j
QY-MER;adiincj992;p0p50;2020;14016;992;j
QY-MER;adiincj992;p0p50;2021;14792.2;992;j
QY-MER;adiincj992;p10p100;2018;36992.5;992;j
QY-MER;adiincj992;p10p100;2019;37023.6;992;j
QY-MER;adiincj992;p10p100;2020;34377;992;j
QY-MER;adiincj992;p10p100;2021;36241.4;992;j
QY-MER;adiincj992;p10p11;2018;7080.8;992;j
QY-MER;adiincj992;p10p11;2019;7376.1;992;j
QY-MER;adiincj992;p10p11;2020;7129.4;992;j
QY-MER;adiincj992;p10p11;2021;7514.3;992;j
QY-MER;adiincj992;p11p100;2018;37328.6;992;j
QY-MER;adiincj992;p11p100;2019;37356.7;992;j
QY-MER;adiincj992;p11p100;2020;34683.2;992;j
QY-MER;adiincj992;p11p100;2021;36564.2;992;j
QY-MER;adiincj992;p11p12;2018;7855.7;992;j
QY-MER;adiincj992;p11p12;2019;8142.1;992;j
QY-MER;adiincj992;p11p12;2020;7785.4;992;j
QY-MER;adiincj992;p11p12;2021;8205;992;j
QY-MER;adiincj992;p12p100;2018;37663.5;992;j
QY-MER;adiincj992;p12p100;2019;37688.7;992;j
QY-MER;adiincj992;p12p100;2020;34988.8;992;j
QY-MER;adiincj992;p12p100;2021;36886.5;992;j
QY-MER;adiincj992;p12p13;2018;8389.4;992;j
QY-MER;adiincj992;p12p13;2019;8716.3;992;j
QY-MER;adiincj992;p12p13;2020;8328.6;992;j
QY-MER;adiincj992;p12p13;2021;8797.6;992;j
QY-MER;adiincj992;p13p100;2018;38000;992;j
QY-MER;adiincj992;p13p100;2019;38021.7;992;j
QY-MER;adiincj992;p13p100;2020;35295.3;992;j
QY-MER;adiincj992;p13p100;2021;37209.3;992;j
QY-MER;adiincj992;p13p14;2018;9016.4;992;j
