country;variable;percentile;year;value;age;pop
TL;acomnxi999;p0p100;2006;1.5;999;i
TL;acomnxi999;p0p100;2007;4.6;999;i
TL;acomnxi999;p0p100;2008;3.5;999;i
TL;acomnxi999;p0p100;2009;51.7;999;i
TL;acomnxi999;p0p100;2010;51.9;999;i
TL;acomnxi999;p0p100;2011;36.3;999;i
TL;acomnxi999;p0p100;2012;25.6;999;i
TL;acomnxi999;p0p100;2013;0.8;999;i
TL;acomnxi999;p0p100;2014;0.3;999;i
TL;acomnxi999;p0p100;2015;0.1;999;i
TL;acomnxi999;p0p100;2016;-0.2;999;i
TL;acomnxi999;p0p100;2017;0.8;999;i
TL;acomnxi999;p0p100;2018;1.8;999;i
TL;aptincj992;p0p11;1980;2.6;992;j
TL;aptincj992;p0p11;1981;2.7;992;j
TL;aptincj992;p0p11;1982;2.7;992;j
TL;aptincj992;p0p11;1983;2.9;992;j
TL;aptincj992;p0p11;1984;3;992;j
TL;aptincj992;p0p11;1985;3;992;j
TL;aptincj992;p0p11;1986;3;992;j
TL;aptincj992;p0p11;1987;3.3;992;j
TL;aptincj992;p0p11;1988;3.4;992;j
TL;aptincj992;p0p11;1989;3.6;992;j
TL;aptincj992;p0p11;1990;3.8;992;j
TL;aptincj992;p0p11;1991;4.1;992;j
TL;aptincj992;p0p11;1992;4.4;992;j
TL;aptincj992;p0p11;1993;4.7;992;j
TL;aptincj992;p0p11;1994;4.9;992;j
TL;aptincj992;p0p11;1995;5.2;992;j
TL;aptincj992;p0p11;1996;5.6;992;j
TL;aptincj992;p0p11;1997;5.8;992;j
TL;aptincj992;p0p11;1998;5.7;992;j
TL;aptincj992;p0p11;1999;3.5;992;j
TL;aptincj992;p0p11;2000;4.1;992;j
TL;aptincj992;p0p11;2001;4.7;992;j
TL;aptincj992;p0p11;2002;4.7;992;j
TL;aptincj992;p0p11;2003;4.8;992;j
TL;aptincj992;p0p11;2004;4.9;992;j
TL;aptincj992;p0p11;2005;5.2;992;j
TL;aptincj992;p0p11;2006;6.4;992;j
TL;aptincj992;p0p11;2007;8.5;992;j
TL;aptincj992;p0p11;2008;9.9;992;j
TL;aptincj992;p0p11;2009;10.8;992;j
TL;aptincj992;p0p11;2010;11.6;992;j
TL;aptincj992;p0p11;2011;12.1;992;j
TL;aptincj992;p0p11;2012;12;992;j
TL;aptincj992;p0p11;2013;12.1;992;j
TL;aptincj992;p0p11;2014;11.7;992;j
TL;aptincj992;p0p11;2015;10.7;992;j
TL;aptincj992;p0p11;2016;9.1;992;j
TL;aptincj992;p0p11;2017;9.2;992;j
TL;aptincj992;p0p11;2018;9.1;992;j
TL;aptincj992;p0p11;2019;10.6;992;j
TL;aptincj992;p0p11;2020;11.4;992;j
TL;aptincj992;p0p11;2021;11.4;992;j
TL;aptincj992;p0p12;1980;3.8;992;j
TL;aptincj992;p0p12;1981;4;992;j
TL;aptincj992;p0p12;1982;3.9;992;j
TL;aptincj992;p0p12;1983;4.2;992;j
TL;aptincj992;p0p12;1984;4.4;992;j
TL;aptincj992;p0p12;1985;4.4;992;j
TL;aptincj992;p0p12;1986;4.4;992;j
TL;aptincj992;p0p12;1987;4.8;992;j
TL;aptincj992;p0p12;1988;4.9;992;j
TL;aptincj992;p0p12;1989;5.3;992;j
TL;aptincj992;p0p12;1990;5.5;992;j
TL;aptincj992;p0p12;1991;5.9;992;j
TL;aptincj992;p0p12;1992;6.4;992;j
TL;aptincj992;p0p12;1993;6.8;992;j
TL;aptincj992;p0p12;1994;7.1;992;j
TL;aptincj992;p0p12;1995;7.5;992;j
TL;aptincj992;p0p12;1996;8.2;992;j
TL;aptincj992;p0p12;1997;8.5;992;j
TL;aptincj992;p0p12;1998;8.3;992;j
