country;variable;percentile;year;value;age;pop
XA-MER;adiincj992;p0p1;2018;88.1;992;j
XA-MER;adiincj992;p0p1;2019;106.6;992;j
XA-MER;adiincj992;p0p1;2020;101.8;992;j
XA-MER;adiincj992;p0p1;2021;106.2;992;j
XA-MER;adiincj992;p0p100;2018;7488.1;992;j
XA-MER;adiincj992;p0p100;2019;7721.9;992;j
XA-MER;adiincj992;p0p100;2020;7617.6;992;j
XA-MER;adiincj992;p0p100;2021;8069.6;992;j
XA-MER;adiincj992;p0p50;2018;1183.1;992;j
XA-MER;adiincj992;p0p50;2019;1222;992;j
XA-MER;adiincj992;p0p50;2020;1166.2;992;j
XA-MER;adiincj992;p0p50;2021;1243.2;992;j
XA-MER;adiincj992;p10p100;2018;8282.4;992;j
XA-MER;adiincj992;p10p100;2019;8540.7;992;j
XA-MER;adiincj992;p10p100;2020;8427.2;992;j
XA-MER;adiincj992;p10p100;2021;8926.9;992;j
XA-MER;adiincj992;p10p11;2018;715.7;992;j
XA-MER;adiincj992;p10p11;2019;729.6;992;j
XA-MER;adiincj992;p10p11;2020;684.6;992;j
XA-MER;adiincj992;p10p11;2021;745.6;992;j
XA-MER;adiincj992;p11p100;2018;8367.4;992;j
XA-MER;adiincj992;p11p100;2019;8628.4;992;j
XA-MER;adiincj992;p11p100;2020;8514.1;992;j
XA-MER;adiincj992;p11p100;2021;9018.9;992;j
XA-MER;adiincj992;p11p12;2018;739;992;j
XA-MER;adiincj992;p11p12;2019;760.8;992;j
XA-MER;adiincj992;p11p12;2020;717.8;992;j
XA-MER;adiincj992;p11p12;2021;776.7;992;j
XA-MER;adiincj992;p12p100;2018;8454.1;992;j
XA-MER;adiincj992;p12p100;2019;8717.8;992;j
XA-MER;adiincj992;p12p100;2020;8602.7;992;j
XA-MER;adiincj992;p12p100;2021;9112.5;992;j
XA-MER;adiincj992;p12p13;2018;739.3;992;j
XA-MER;adiincj992;p12p13;2019;801.8;992;j
XA-MER;adiincj992;p12p13;2020;748.8;992;j
XA-MER;adiincj992;p12p13;2021;813.7;992;j
XA-MER;adiincj992;p13p100;2018;8542.8;992;j
XA-MER;adiincj992;p13p100;2019;8808.8;992;j
XA-MER;adiincj992;p13p100;2020;8693;992;j
XA-MER;adiincj992;p13p100;2021;9207.9;992;j
XA-MER;adiincj992;p13p14;2018;749.2;992;j
XA-MER;adiincj992;p13p14;2019;831.2;992;j
XA-MER;adiincj992;p13p14;2020;782.2;992;j
XA-MER;adiincj992;p13p14;2021;848.8;992;j
XA-MER;adiincj992;p14p100;2018;8633.4;992;j
XA-MER;adiincj992;p14p100;2019;8901.6;992;j
XA-MER;adiincj992;p14p100;2020;8785;992;j
XA-MER;adiincj992;p14p100;2021;9305.1;992;j
XA-MER;adiincj992;p14p15;2018;782.2;992;j
XA-MER;adiincj992;p14p15;2019;834.8;992;j
XA-MER;adiincj992;p14p15;2020;815.6;992;j
XA-MER;adiincj992;p14p15;2021;885.1;992;j
XA-MER;adiincj992;p15p100;2018;8725.8;992;j
XA-MER;adiincj992;p15p100;2019;8996.5;992;j
XA-MER;adiincj992;p15p100;2020;8878.8;992;j
XA-MER;adiincj992;p15p100;2021;9404.2;992;j
XA-MER;adiincj992;p15p16;2018;804.7;992;j
XA-MER;adiincj992;p15p16;2019;835.2;992;j
XA-MER;adiincj992;p15p16;2020;835.7;992;j
XA-MER;adiincj992;p15p16;2021;900.6;992;j
XA-MER;adiincj992;p16p100;2018;8820.1;992;j
XA-MER;adiincj992;p16p100;2019;9093.7;992;j
XA-MER;adiincj992;p16p100;2020;8974.5;992;j
XA-MER;adiincj992;p16p100;2021;9505.4;992;j
XA-MER;adiincj992;p16p17;2018;839;992;j
XA-MER;adiincj992;p16p17;2019;859.6;992;j
XA-MER;adiincj992;p16p17;2020;836.1;992;j
XA-MER;adiincj992;p16p17;2021;900.8;992;j
XA-MER;adiincj992;p17p100;2018;8916.2;992;j
XA-MER;adiincj992;p17p100;2019;9192.9;992;j
XA-MER;adiincj992;p17p100;2020;9072.6;992;j
XA-MER;adiincj992;p17p100;2021;9609.1;992;j
XA-MER;adiincj992;p17p18;2018;872;992;j
XA-MER;adiincj992;p17p18;2019;893.6;992;j
XA-MER;adiincj992;p17p18;2020;844.1;992;j
XA-MER;adiincj992;p17p18;2021;911.7;992;j
XA-MER;adiincj992;p18p100;2018;9014.3;992;j
XA-MER;adiincj992;p18p100;2019;9294.1;992;j
XA-MER;adiincj992;p18p100;2020;9172.9;992;j
XA-MER;adiincj992;p18p100;2021;9715.1;992;j
XA-MER;adiincj992;p18p19;2018;902.3;992;j
XA-MER;adiincj992;p18p19;2019;928.6;992;j
XA-MER;adiincj992;p18p19;2020;872.2;992;j
XA-MER;adiincj992;p18p19;2021;943.8;992;j
XA-MER;adiincj992;p19p100;2018;9114.5;992;j
XA-MER;adiincj992;p19p100;2019;9397.3;992;j
XA-MER;adiincj992;p19p100;2020;9275.4;992;j
XA-MER;adiincj992;p19p100;2021;9823.4;992;j
XA-MER;adiincj992;p19p20;2018;925.5;992;j
XA-MER;adiincj992;p19p20;2019;955.9;992;j
XA-MER;adiincj992;p19p20;2020;906.7;992;j
XA-MER;adiincj992;p19p20;2021;977.9;992;j
XA-MER;adiincj992;p1p100;2018;7562.9;992;j
XA-MER;adiincj992;p1p100;2019;7798.8;992;j
XA-MER;adiincj992;p1p100;2020;7693.5;992;j
XA-MER;adiincj992;p1p100;2021;8150;992;j
XA-MER;adiincj992;p1p2;2018;109.6;992;j
XA-MER;adiincj992;p1p2;2019;131.4;992;j
XA-MER;adiincj992;p1p2;2020;122.6;992;j
XA-MER;adiincj992;p1p2;2021;136.8;992;j
XA-MER;adiincj992;p20p100;2018;9216.8;992;j
XA-MER;adiincj992;p20p100;2019;9502.9;992;j
XA-MER;adiincj992;p20p100;2020;9380;992;j
XA-MER;adiincj992;p20p100;2021;9934;992;j
XA-MER;adiincj992;p20p21;2018;958.1;992;j
XA-MER;adiincj992;p20p21;2019;983.6;992;j
XA-MER;adiincj992;p20p21;2020;937.1;992;j
XA-MER;adiincj992;p20p21;2021;1014;992;j
XA-MER;adiincj992;p21p100;2018;9321.4;992;j
XA-MER;adiincj992;p21p100;2019;9610.7;992;j
XA-MER;adiincj992;p21p100;2020;9486.9;992;j
