country;variable;percentile;year;value;age;pop
XB-MER;adiincj992;p0p1;2018;-8846.5;992;j
XB-MER;adiincj992;p0p1;2019;-8896.4;992;j
XB-MER;adiincj992;p0p1;2020;-8145.8;992;j
XB-MER;adiincj992;p0p1;2021;-8795.3;992;j
XB-MER;adiincj992;p0p100;2018;62716.7;992;j
XB-MER;adiincj992;p0p100;2019;63116.8;992;j
XB-MER;adiincj992;p0p100;2020;60395.5;992;j
XB-MER;adiincj992;p0p100;2021;64360.4;992;j
XB-MER;adiincj992;p0p50;2018;24742.1;992;j
XB-MER;adiincj992;p0p50;2019;25169.6;992;j
XB-MER;adiincj992;p0p50;2020;25384.9;992;j
XB-MER;adiincj992;p0p50;2021;27164.4;992;j
XB-MER;adiincj992;p10p100;2018;68917.9;992;j
XB-MER;adiincj992;p10p100;2019;69326.5;992;j
XB-MER;adiincj992;p10p100;2020;66138.8;992;j
XB-MER;adiincj992;p10p100;2021;70425.5;992;j
XB-MER;adiincj992;p10p11;2018;14685.4;992;j
XB-MER;adiincj992;p10p11;2019;14915.1;992;j
XB-MER;adiincj992;p10p11;2020;16231.1;992;j
XB-MER;adiincj992;p10p11;2021;17637.2;992;j
XB-MER;adiincj992;p11p100;2018;69527.2;992;j
XB-MER;adiincj992;p11p100;2019;69937.9;992;j
XB-MER;adiincj992;p11p100;2020;66699.5;992;j
XB-MER;adiincj992;p11p100;2021;71018.6;992;j
XB-MER;adiincj992;p11p12;2018;16066.8;992;j
XB-MER;adiincj992;p11p12;2019;15935.2;992;j
XB-MER;adiincj992;p11p12;2020;16790.1;992;j
XB-MER;adiincj992;p11p12;2021;18686.6;992;j
XB-MER;adiincj992;p12p100;2018;70134.7;992;j
XB-MER;adiincj992;p12p100;2019;70551.5;992;j
XB-MER;adiincj992;p12p100;2020;67266.7;992;j
XB-MER;adiincj992;p12p100;2021;71613.3;992;j
XB-MER;adiincj992;p12p13;2018;16828.6;992;j
XB-MER;adiincj992;p12p13;2019;16848.3;992;j
XB-MER;adiincj992;p12p13;2020;17790.1;992;j
XB-MER;adiincj992;p12p13;2021;19676.2;992;j
XB-MER;adiincj992;p13p100;2018;70747.5;992;j
XB-MER;adiincj992;p13p100;2019;71168.8;992;j
XB-MER;adiincj992;p13p100;2020;67835.4;992;j
XB-MER;adiincj992;p13p100;2021;72210.3;992;j
XB-MER;adiincj992;p13p14;2018;17544.1;992;j
XB-MER;adiincj992;p13p14;2019;17829.4;992;j
XB-MER;adiincj992;p13p14;2020;18730.7;992;j
XB-MER;adiincj992;p13p14;2021;20625.1;992;j
XB-MER;adiincj992;p14p100;2018;71366.1;992;j
XB-MER;adiincj992;p14p100;2019;71789;992;j
XB-MER;adiincj992;p14p100;2020;68406.4;992;j
XB-MER;adiincj992;p14p100;2021;72810.1;992;j
XB-MER;adiincj992;p14p15;2018;18822.4;992;j
XB-MER;adiincj992;p14p15;2019;19049.6;992;j
XB-MER;adiincj992;p14p15;2020;19615.4;992;j
XB-MER;adiincj992;p14p15;2021;21528.7;992;j
XB-MER;adiincj992;p15p100;2018;71984.3;992;j
XB-MER;adiincj992;p15p100;2019;72409.5;992;j
XB-MER;adiincj992;p15p100;2020;68980.4;992;j
XB-MER;adiincj992;p15p100;2021;73413.4;992;j
XB-MER;adiincj992;p15p16;2018;19624.9;992;j
XB-MER;adiincj992;p15p16;2019;20275.1;992;j
XB-MER;adiincj992;p15p16;2020;20786;992;j
XB-MER;adiincj992;p15p16;2021;22392.5;992;j
XB-MER;adiincj992;p16p100;2018;72607.6;992;j
XB-MER;adiincj992;p16p100;2019;73030.2;992;j
XB-MER;adiincj992;p16p100;2020;69554.1;992;j
XB-MER;adiincj992;p16p100;2021;74020.8;992;j
XB-MER;adiincj992;p16p17;2018;20446.2;992;j
XB-MER;adiincj992;p16p17;2019;21168.8;992;j
XB-MER;adiincj992;p16p17;2020;21357;992;j
XB-MER;adiincj992;p16p17;2021;23052.3;992;j
XB-MER;adiincj992;p17p100;2018;73236;992;j
XB-MER;adiincj992;p17p100;2019;73655;992;j
XB-MER;adiincj992;p17p100;2020;70134.8;992;j
XB-MER;adiincj992;p17p100;2021;74634.9;992;j
XB-MER;adiincj992;p17p18;2018;21286.6;992;j
XB-MER;adiincj992;p17p18;2019;21942.9;992;j
XB-MER;adiincj992;p17p18;2020;21902.1;992;j
XB-MER;adiincj992;p17p18;2021;23497.3;992;j
XB-MER;adiincj992;p18p100;2018;73869.6;992;j
XB-MER;adiincj992;p18p100;2019;74285.6;992;j
XB-MER;adiincj992;p18p100;2020;70723;992;j
XB-MER;adiincj992;p18p100;2021;75258.5;992;j
XB-MER;adiincj992;p18p19;2018;22038.5;992;j
XB-MER;adiincj992;p18p19;2019;22756.5;992;j
XB-MER;adiincj992;p18p19;2020;22567.4;992;j
XB-MER;adiincj992;p18p19;2021;23987.2;992;j
XB-MER;adiincj992;p19p100;2018;74509.5;992;j
XB-MER;adiincj992;p19p100;2019;74921.8;992;j
XB-MER;adiincj992;p19p100;2020;71317.5;992;j
XB-MER;adiincj992;p19p100;2021;75891.5;992;j
XB-MER;adiincj992;p19p20;2018;22838.3;992;j
XB-MER;adiincj992;p19p20;2019;23159.3;992;j
XB-MER;adiincj992;p19p20;2020;22938.2;992;j
XB-MER;adiincj992;p19p20;2021;24620.7;992;j
XB-MER;adiincj992;p1p100;2018;63439.6;992;j
XB-MER;adiincj992;p1p100;2019;63844.3;992;j
XB-MER;adiincj992;p1p100;2020;61087.8;992;j
XB-MER;adiincj992;p1p100;2021;65099.3;992;j
XB-MER;adiincj992;p1p2;2018;1448.8;992;j
XB-MER;adiincj992;p1p2;2019;1694.7;992;j
XB-MER;adiincj992;p1p2;2020;4091.1;992;j
XB-MER;adiincj992;p1p2;2021;5376.1;992;j
XB-MER;adiincj992;p20p100;2018;75155.3;992;j
XB-MER;adiincj992;p20p100;2019;75568.8;992;j
