country;variable;percentile;year;value;age;pop
XL-MER;adiincj992;p0p1;2018;306.5;992;j
XL-MER;adiincj992;p0p1;2019;301.6;992;j
XL-MER;adiincj992;p0p1;2020;258.3;992;j
XL-MER;adiincj992;p0p1;2021;263.4;992;j
XL-MER;adiincj992;p0p100;2018;9016.3;992;j
XL-MER;adiincj992;p0p100;2019;8730.7;992;j
XL-MER;adiincj992;p0p100;2020;7947.7;992;j
XL-MER;adiincj992;p0p100;2021;8396.9;992;j
XL-MER;adiincj992;p0p50;2018;2019.5;992;j
XL-MER;adiincj992;p0p50;2019;2008.4;992;j
XL-MER;adiincj992;p0p50;2020;1822;992;j
XL-MER;adiincj992;p0p50;2021;1922.7;992;j
XL-MER;adiincj992;p10p100;2018;9955.6;992;j
XL-MER;adiincj992;p10p100;2019;9641.2;992;j
XL-MER;adiincj992;p10p100;2020;8781.6;992;j
XL-MER;adiincj992;p10p100;2021;9278.2;992;j
XL-MER;adiincj992;p10p11;2018;794.2;992;j
XL-MER;adiincj992;p10p11;2019;774.6;992;j
XL-MER;adiincj992;p10p11;2020;660.7;992;j
XL-MER;adiincj992;p10p11;2021;688.9;992;j
XL-MER;adiincj992;p11p100;2018;10058.5;992;j
XL-MER;adiincj992;p11p100;2019;9740.8;992;j
XL-MER;adiincj992;p11p100;2020;8872.9;992;j
XL-MER;adiincj992;p11p100;2021;9374.8;992;j
XL-MER;adiincj992;p11p12;2018;877.4;992;j
XL-MER;adiincj992;p11p12;2019;852.6;992;j
XL-MER;adiincj992;p11p12;2020;709.8;992;j
XL-MER;adiincj992;p11p12;2021;735.7;992;j
XL-MER;adiincj992;p12p100;2018;10162.8;992;j
XL-MER;adiincj992;p12p100;2019;9841.8;992;j
XL-MER;adiincj992;p12p100;2020;8965.6;992;j
XL-MER;adiincj992;p12p100;2021;9472.9;992;j
XL-MER;adiincj992;p12p13;2018;972.2;992;j
XL-MER;adiincj992;p12p13;2019;932.7;992;j
XL-MER;adiincj992;p12p13;2020;756.6;992;j
XL-MER;adiincj992;p12p13;2021;808.6;992;j
XL-MER;adiincj992;p13p100;2018;10268.5;992;j
XL-MER;adiincj992;p13p100;2019;9944.2;992;j
XL-MER;adiincj992;p13p100;2020;9060;992;j
XL-MER;adiincj992;p13p100;2021;9572.5;992;j
XL-MER;adiincj992;p13p14;2018;1045.5;992;j
XL-MER;adiincj992;p13p14;2019;1003.7;992;j
XL-MER;adiincj992;p13p14;2020;835.7;992;j
XL-MER;adiincj992;p13p14;2021;895.3;992;j
XL-MER;adiincj992;p14p100;2018;10375.7;992;j
XL-MER;adiincj992;p14p100;2019;10048.1;992;j
XL-MER;adiincj992;p14p100;2020;9155.6;992;j
XL-MER;adiincj992;p14p100;2021;9673.4;992;j
XL-MER;adiincj992;p14p15;2018;1137.2;992;j
XL-MER;adiincj992;p14p15;2019;1089.6;992;j
XL-MER;adiincj992;p14p15;2020;913.5;992;j
XL-MER;adiincj992;p14p15;2021;960.2;992;j
XL-MER;adiincj992;p15p100;2018;10484.4;992;j
XL-MER;adiincj992;p15p100;2019;10153.5;992;j
XL-MER;adiincj992;p15p100;2020;9252.6;992;j
XL-MER;adiincj992;p15p100;2021;9775.9;992;j
XL-MER;adiincj992;p15p16;2018;1210.5;992;j
XL-MER;adiincj992;p15p16;2019;1166.5;992;j
XL-MER;adiincj992;p15p16;2020;1001.1;992;j
XL-MER;adiincj992;p15p16;2021;1066.1;992;j
XL-MER;adiincj992;p16p100;2018;10594.8;992;j
XL-MER;adiincj992;p16p100;2019;10260.5;992;j
XL-MER;adiincj992;p16p100;2020;9350.8;992;j
XL-MER;adiincj992;p16p100;2021;9879.6;992;j
XL-MER;adiincj992;p16p17;2018;1287.6;992;j
XL-MER;adiincj992;p16p17;2019;1245;992;j
XL-MER;adiincj992;p16p17;2020;1072.9;992;j
XL-MER;adiincj992;p16p17;2021;1128.3;992;j
XL-MER;adiincj992;p17p100;2018;10706.9;992;j
XL-MER;adiincj992;p17p100;2019;10369.2;992;j
XL-MER;adiincj992;p17p100;2020;9450.6;992;j
XL-MER;adiincj992;p17p100;2021;9985;992;j
XL-MER;adiincj992;p17p18;2018;1367.8;992;j
XL-MER;adiincj992;p17p18;2019;1320.9;992;j
XL-MER;adiincj992;p17p18;2020;1149.2;992;j
XL-MER;adiincj992;p17p18;2021;1234.7;992;j
XL-MER;adiincj992;p18p100;2018;10820.8;992;j
XL-MER;adiincj992;p18p100;2019;10479.5;992;j
XL-MER;adiincj992;p18p100;2020;9551.8;992;j
XL-MER;adiincj992;p18p100;2021;10091.8;992;j
XL-MER;adiincj992;p18p19;2018;1447.5;992;j
XL-MER;adiincj992;p18p19;2019;1406.8;992;j
XL-MER;adiincj992;p18p19;2020;1236.7;992;j
XL-MER;adiincj992;p18p19;2021;1318.1;992;j
XL-MER;adiincj992;p19p100;2018;10936.5;992;j
XL-MER;adiincj992;p19p100;2019;10591.5;992;j
XL-MER;adiincj992;p19p100;2020;9654.5;992;j
XL-MER;adiincj992;p19p100;2021;10200.1;992;j
XL-MER;adiincj992;p19p20;2018;1532.3;992;j
XL-MER;adiincj992;p19p20;2019;1511.6;992;j
XL-MER;adiincj992;p19p20;2020;1323.6;992;j
XL-MER;adiincj992;p19p20;2021;1417;992;j
XL-MER;adiincj992;p1p100;2018;9104.3;992;j
XL-MER;adiincj992;p1p100;2019;8815.8;992;j
XL-MER;adiincj992;p1p100;2020;8025.4;992;j
XL-MER;adiincj992;p1p100;2021;8479.1;992;j
XL-MER;adiincj992;p1p2;2018;414.9;992;j
XL-MER;adiincj992;p1p2;2019;412.5;992;j
XL-MER;adiincj992;p1p2;2020;347.2;992;j
XL-MER;adiincj992;p1p2;2021;368.1;992;j
XL-MER;adiincj992;p20p100;2018;11054.1;992;j
XL-MER;adiincj992;p20p100;2019;10705;992;j
XL-MER;adiincj992;p20p100;2020;9758.6;992;j
XL-MER;adiincj992;p20p100;2021;10309.9;992;j
XL-MER;adiincj992;p20p21;2018;1616.7;992;j
XL-MER;adiincj992;p20p21;2019;1600.4;992;j
XL-MER;adiincj992;p20p21;2020;1404.7;992;j
XL-MER;adiincj992;p20p21;2021;1487.4;992;j
XL-MER;adiincj992;p21p100;2018;11173.6;992;j
XL-MER;adiincj992;p21p100;2019;10820.3;992;j
XL-MER;adiincj992;p21p100;2020;9864.3;992;j
XL-MER;adiincj992;p21p100;2021;10421.5;992;j
XL-MER;adiincj992;p21p22;2018;1702.2;992;j
XL-MER;adiincj992;p21p22;2019;1694;992;j
XL-MER;adiincj992;p21p22;2020;1502.9;992;j
XL-MER;adiincj992;p21p22;2021;1581;992;j
