country;variable;percentile;year;value;age;pop
XL;ehfcari999;p0p100;1990;439.614735539376;999;i
XL;ehfcari999;p0p100;1991;463.030936840505;999;i
XL;ehfcari999;p0p100;1992;477.748343348764;999;i
XL;ehfcari999;p0p100;1993;490.570087160298;999;i
XL;ehfcari999;p0p100;1994;504.634662386815;999;i
XL;ehfcari999;p0p100;1995;510.285149008062;999;i
XL;ehfcari999;p0p100;1996;531.92763627218;999;i
XL;ehfcari999;p0p100;1997;585.139899427489;999;i
XL;ehfcari999;p0p100;1998;643.497851174067;999;i
XL;ehfcari999;p0p100;1999;609.673967496637;999;i
XL;ehfcari999;p0p100;2000;606.806452925775;999;i
XL;ehfcari999;p0p100;2001;619.517954855625;999;i
XL;ehfcari999;p0p100;2002;581.506128161703;999;i
XL;ehfcari999;p0p100;2003;609.806588320781;999;i
XL;ehfcari999;p0p100;2004;603.568969039463;999;i
XL;ehfcari999;p0p100;2005;660.079350120358;999;i
XL;ehfcari999;p0p100;2006;670.824812670856;999;i
XL;ehfcari999;p0p100;2007;685.324202506438;999;i
XL;ehfcari999;p0p100;2008;743.656152615308;999;i
XL;ehfcari999;p0p100;2009;708.118717100375;999;i
XL;ehfcari999;p0p100;2010;764.518608738211;999;i
XL;ehfcari999;p0p100;2011;782.651884552708;999;i
XL;ehfcari999;p0p100;2012;861.920692164076;999;i
XL;ehfcari999;p0p100;2013;880.175668227074;999;i
XL;ehfcari999;p0p100;2014;898.699979829815;999;i
XL;ehfcari999;p0p100;2015;868.678505102443;999;i
XL;ehfcari999;p0p100;2016;848.442006265626;999;i
XL;ehfcari999;p0p100;2017;837.555863690767;999;i
XL;ehfcari999;p0p100;2018;823.437095725676;999;i
XL;ehfcari999;p0p100;2019;814.38491447689;999;i
XL;ehfcari999;p0p100;2020;773.665668753045;999;i
XL;ehfghdi999;p0p100;1990;155.607036605145;999;i
XL;ehfghdi999;p0p100;1991;159.53979765191;999;i
XL;ehfghdi999;p0p100;1992;162.994683494817;999;i
XL;ehfghdi999;p0p100;1993;169.54788898477;999;i
XL;ehfghdi999;p0p100;1994;175.91533558437;999;i
XL;ehfghdi999;p0p100;1995;178.825458437569;999;i
XL;ehfghdi999;p0p100;1996;187.073600298172;999;i
XL;ehfghdi999;p0p100;1997;198.532260091867;999;i
XL;ehfghdi999;p0p100;1998;210.930607401331;999;i
