country;variable;percentile;year;value;age;pop
XM-MER;adiincj992;p0p1;2018;210.7;992;j
XM-MER;adiincj992;p0p1;2019;208.1;992;j
XM-MER;adiincj992;p0p1;2020;202.4;992;j
XM-MER;adiincj992;p0p1;2021;190.6;992;j
XM-MER;adiincj992;p0p100;2018;12262.6;992;j
XM-MER;adiincj992;p0p100;2019;11795.4;992;j
XM-MER;adiincj992;p0p100;2020;11389.4;992;j
XM-MER;adiincj992;p0p100;2021;11521.4;992;j
XM-MER;adiincj992;p0p50;2018;2744.6;992;j
XM-MER;adiincj992;p0p50;2019;2755.4;992;j
XM-MER;adiincj992;p0p50;2020;2664.9;992;j
XM-MER;adiincj992;p0p50;2021;2720;992;j
XM-MER;adiincj992;p10p100;2018;13541.5;992;j
XM-MER;adiincj992;p10p100;2019;13020.3;992;j
XM-MER;adiincj992;p10p100;2020;12572.2;992;j
XM-MER;adiincj992;p10p100;2021;12719.9;992;j
XM-MER;adiincj992;p10p11;2018;1403.1;992;j
XM-MER;adiincj992;p10p11;2019;1424.1;992;j
XM-MER;adiincj992;p10p11;2020;1359.2;992;j
XM-MER;adiincj992;p10p11;2021;1428.4;992;j
XM-MER;adiincj992;p11p100;2018;13677.9;992;j
XM-MER;adiincj992;p11p100;2019;13150.6;992;j
XM-MER;adiincj992;p11p100;2020;12698.2;992;j
XM-MER;adiincj992;p11p100;2021;12846.7;992;j
XM-MER;adiincj992;p11p12;2018;1543.1;992;j
XM-MER;adiincj992;p11p12;2019;1562.8;992;j
XM-MER;adiincj992;p11p12;2020;1505.4;992;j
XM-MER;adiincj992;p11p12;2021;1515.8;992;j
XM-MER;adiincj992;p12p100;2018;13815.8;992;j
XM-MER;adiincj992;p12p100;2019;13282.2;992;j
XM-MER;adiincj992;p12p100;2020;12825.4;992;j
XM-MER;adiincj992;p12p100;2021;12975.5;992;j
XM-MER;adiincj992;p12p13;2018;1643.8;992;j
XM-MER;adiincj992;p12p13;2019;1696.9;992;j
XM-MER;adiincj992;p12p13;2020;1621.9;992;j
XM-MER;adiincj992;p12p13;2021;1641.6;992;j
XM-MER;adiincj992;p13p100;2018;13955.7;992;j
XM-MER;adiincj992;p13p100;2019;13415.4;992;j
XM-MER;adiincj992;p13p100;2020;12954.2;992;j
XM-MER;adiincj992;p13p100;2021;13105.8;992;j
XM-MER;adiincj992;p13p14;2018;1770;992;j
XM-MER;adiincj992;p13p14;2019;1786.5;992;j
XM-MER;adiincj992;p13p14;2020;1738.3;992;j
XM-MER;adiincj992;p13p14;2021;1749.3;992;j
XM-MER;adiincj992;p14p100;2018;14097.4;992;j
XM-MER;adiincj992;p14p100;2019;13550.6;992;j
XM-MER;adiincj992;p14p100;2020;13084.6;992;j
XM-MER;adiincj992;p14p100;2021;13237.8;992;j
XM-MER;adiincj992;p14p15;2018;1859.5;992;j
XM-MER;adiincj992;p14p15;2019;1917.4;992;j
XM-MER;adiincj992;p14p15;2020;1875.2;992;j
XM-MER;adiincj992;p14p15;2021;1887.5;992;j
XM-MER;adiincj992;p15p100;2018;14241.3;992;j
XM-MER;adiincj992;p15p100;2019;13687.5;992;j
XM-MER;adiincj992;p15p100;2020;13216.5;992;j
XM-MER;adiincj992;p15p100;2021;13371.4;992;j
