country;variable;percentile;year;value;age;pop
XM;ehfcari999;p0p100;1990;311.645134478347;999;i
XM;ehfcari999;p0p100;1991;321.958606662117;999;i
XM;ehfcari999;p0p100;1992;366.674945297743;999;i
XM;ehfcari999;p0p100;1993;371.565251325882;999;i
XM;ehfcari999;p0p100;1994;363.739333361815;999;i
XM;ehfcari999;p0p100;1995;355.822696986706;999;i
XM;ehfcari999;p0p100;1996;353.642872870861;999;i
XM;ehfcari999;p0p100;1997;380.438566574778;999;i
XM;ehfcari999;p0p100;1998;414.576757637201;999;i
XM;ehfcari999;p0p100;1999;389.697415676126;999;i
XM;ehfcari999;p0p100;2000;413.419040577249;999;i
XM;ehfcari999;p0p100;2001;386.32191085604;999;i
XM;ehfcari999;p0p100;2002;407.928621401075;999;i
XM;ehfcari999;p0p100;2003;485.181920966002;999;i
XM;ehfcari999;p0p100;2004;510.127157564795;999;i
XM;ehfcari999;p0p100;2005;544.838049544911;999;i
XM;ehfcari999;p0p100;2006;589.352744344272;999;i
XM;ehfcari999;p0p100;2007;617.531193222661;999;i
XM;ehfcari999;p0p100;2008;640.157157535785;999;i
XM;ehfcari999;p0p100;2009;655.355673975274;999;i
XM;ehfcari999;p0p100;2010;694.719828869429;999;i
XM;ehfcari999;p0p100;2011;696.105538400534;999;i
XM;ehfcari999;p0p100;2012;748.992763961733;999;i
XM;ehfcari999;p0p100;2013;742.786662747828;999;i
XM;ehfcari999;p0p100;2014;807.161843927728;999;i
XM;ehfcari999;p0p100;2015;841.456507598482;999;i
XM;ehfcari999;p0p100;2016;835.909797135928;999;i
XM;ehfcari999;p0p100;2017;859.696719955194;999;i
XM;ehfcari999;p0p100;2018;855.697561183713;999;i
XM;ehfcari999;p0p100;2019;854.368829747825;999;i
XM;ehfcari999;p0p100;2020;825.060492218477;999;i
XM;ehfghdi999;p0p100;1990;112.189066681075;999;i
XM;ehfghdi999;p0p100;1991;124.265409848178;999;i
XM;ehfghdi999;p0p100;1992;128.818226387297;999;i
XM;ehfghdi999;p0p100;1993;137.960784008285;999;i
XM;ehfghdi999;p0p100;1994;144.193188513104;999;i
XM;ehfghdi999;p0p100;1995;143.094377266425;999;i
XM;ehfghdi999;p0p100;1996;148.293015079048;999;i
XM;ehfghdi999;p0p100;1997;146.901334824523;999;i
XM;ehfghdi999;p0p100;1998;158.6929538744;999;i
XM;ehfghdi999;p0p100;1999;180.790601694849;999;i
XM;ehfghdi999;p0p100;2000;190.082230175971;999;i
XM;ehfghdi999;p0p100;2001;192.702039335724;999;i
XM;ehfghdi999;p0p100;2002;197.949228675442;999;i
XM;ehfghdi999;p0p100;2003;208.314907135928;999;i
XM;ehfghdi999;p0p100;2004;224.0953149745;999;i
XM;ehfghdi999;p0p100;2005;238.849661408199;999;i
XM;ehfghdi999;p0p100;2006;254.632180830867;999;i
XM;ehfghdi999;p0p100;2007;271.521430035;999;i
XM;ehfghdi999;p0p100;2008;281.390535538455;999;i
XM;ehfghdi999;p0p100;2009;292.113364402705;999;i
XM;ehfghdi999;p0p100;2010;303.772150498744;999;i
XM;ehfghdi999;p0p100;2011;316.457604759;999;i
XM;ehfghdi999;p0p100;2012;313.229373889471;999;i
XM;ehfghdi999;p0p100;2013;311.028586099637;999;i
XM;ehfghdi999;p0p100;2014;309.786175722;999;i
XM;ehfghdi999;p0p100;2015;316.720142661014;999;i
XM;ehfghdi999;p0p100;2016;313.829044187991;999;i
XM;ehfghdi999;p0p100;2017;339.502356654526;999;i
XM;ehfghdi999;p0p100;2018;346.285754951846;999;i
XM;ehfghdi999;p0p100;2019;350.722396600978;999;i
XM;ehfghdi999;p0p100;2020;333.718890676529;999;i
XM;ehfghgi999;p0p100;1980;714.736016920603;999;i
XM;ehfghgi999;p0p100;1981;663.12041315701;999;i
XM;ehfghgi999;p0p100;1982;695.191201354367;999;i
XM;ehfghgi999;p0p100;1983;694.96543593966;999;i
