country;variable;percentile;year;value;age;pop
XN-MER;adiincj992;p0p1;2018;123;992;j
XN-MER;adiincj992;p0p1;2019;126.6;992;j
XN-MER;adiincj992;p0p1;2020;119.4;992;j
XN-MER;adiincj992;p0p1;2021;122.7;992;j
XN-MER;adiincj992;p0p100;2018;11415.5;992;j
XN-MER;adiincj992;p0p100;2019;11060.3;992;j
XN-MER;adiincj992;p0p100;2020;10569;992;j
XN-MER;adiincj992;p0p100;2021;10693.1;992;j
XN-MER;adiincj992;p0p50;2018;2352.1;992;j
XN-MER;adiincj992;p0p50;2019;2359.9;992;j
XN-MER;adiincj992;p0p50;2020;2239.3;992;j
XN-MER;adiincj992;p0p50;2021;2311.8;992;j
XN-MER;adiincj992;p10p100;2018;12622.2;992;j
XN-MER;adiincj992;p10p100;2019;12227;992;j
XN-MER;adiincj992;p10p100;2020;11684;992;j
XN-MER;adiincj992;p10p100;2021;11821.6;992;j
XN-MER;adiincj992;p10p11;2018;1129.5;992;j
XN-MER;adiincj992;p10p11;2019;1125.9;992;j
XN-MER;adiincj992;p10p11;2020;1047.7;992;j
XN-MER;adiincj992;p10p11;2021;1066.5;992;j
XN-MER;adiincj992;p11p100;2018;12751.4;992;j
XN-MER;adiincj992;p11p100;2019;12351.8;992;j
XN-MER;adiincj992;p11p100;2020;11803.5;992;j
XN-MER;adiincj992;p11p100;2021;11942.4;992;j
XN-MER;adiincj992;p11p12;2018;1263.8;992;j
XN-MER;adiincj992;p11p12;2019;1275.1;992;j
XN-MER;adiincj992;p11p12;2020;1179.4;992;j
XN-MER;adiincj992;p11p12;2021;1208.9;992;j
XN-MER;adiincj992;p12p100;2018;12881.9;992;j
XN-MER;adiincj992;p12p100;2019;12477.6;992;j
XN-MER;adiincj992;p12p100;2020;11924.3;992;j
XN-MER;adiincj992;p12p100;2021;12064.4;992;j
XN-MER;adiincj992;p12p13;2018;1319.6;992;j
XN-MER;adiincj992;p12p13;2019;1367.8;992;j
XN-MER;adiincj992;p12p13;2020;1290.4;992;j
XN-MER;adiincj992;p12p13;2021;1336.8;992;j
XN-MER;adiincj992;p13p100;2018;13014.8;992;j
XN-MER;adiincj992;p13p100;2019;12605.3;992;j
XN-MER;adiincj992;p13p100;2020;12046.5;992;j
