country;variable;percentile;year;value;age;pop
XN;ehfcari999;p0p100;1990;355.743122389929;999;i
XN;ehfcari999;p0p100;1991;366.514208352918;999;i
XN;ehfcari999;p0p100;1992;420.202335933597;999;i
XN;ehfcari999;p0p100;1993;423.838220843116;999;i
XN;ehfcari999;p0p100;1994;416.362909724278;999;i
XN;ehfcari999;p0p100;1995;410.940996701597;999;i
XN;ehfcari999;p0p100;1996;405.616006176742;999;i
XN;ehfcari999;p0p100;1997;434.374684876515;999;i
XN;ehfcari999;p0p100;1998;469.586072032399;999;i
XN;ehfcari999;p0p100;1999;444.094795105328;999;i
XN;ehfcari999;p0p100;2000;470.960854127954;999;i
XN;ehfcari999;p0p100;2001;446.188670491126;999;i
XN;ehfcari999;p0p100;2002;470.000374803123;999;i
XN;ehfcari999;p0p100;2003;547.020524139023;999;i
XN;ehfcari999;p0p100;2004;570.904182664101;999;i
XN;ehfcari999;p0p100;2005;606.618454958887;999;i
XN;ehfcari999;p0p100;2006;655.022968934519;999;i
XN;ehfcari999;p0p100;2007;684.565134598967;999;i
XN;ehfcari999;p0p100;2008;713.764587025936;999;i
XN;ehfcari999;p0p100;2009;723.73738342627;999;i
XN;ehfcari999;p0p100;2010;769.41059889684;999;i
XN;ehfcari999;p0p100;2011;771.718786051674;999;i
XN;ehfcari999;p0p100;2012;826.390078963953;999;i
XN;ehfcari999;p0p100;2013;817.13897778877;999;i
XN;ehfcari999;p0p100;2014;880.265061394744;999;i
XN;ehfcari999;p0p100;2015;914.395882531143;999;i
XN;ehfcari999;p0p100;2016;907.351615085928;999;i
XN;ehfcari999;p0p100;2017;932.773201337866;999;i
XN;ehfcari999;p0p100;2018;929.965477218619;999;i
XN;ehfcari999;p0p100;2019;933.141704131206;999;i
XN;ehfcari999;p0p100;2020;901.864044742274;999;i
XN;ehfghdi999;p0p100;1990;122.266978454988;999;i
XN;ehfghdi999;p0p100;1991;134.969054532316;999;i
XN;ehfghdi999;p0p100;1992;140.368007803798;999;i
XN;ehfghdi999;p0p100;1993;150.331285217226;999;i
XN;ehfghdi999;p0p100;1994;157.090588969059;999;i
XN;ehfghdi999;p0p100;1995;156.352888889316;999;i
XN;ehfghdi999;p0p100;1996;162.096714666253;999;i
XN;ehfghdi999;p0p100;1997;161.175858985417;999;i
XN;ehfghdi999;p0p100;1998;173.418573171049;999;i
XN;ehfghdi999;p0p100;1999;195.572519407752;999;i
XN;ehfghdi999;p0p100;2000;205.903974810103;999;i
XN;ehfghdi999;p0p100;2001;209.693151385559;999;i
XN;ehfghdi999;p0p100;2002;214.568645074507;999;i
XN;ehfghdi999;p0p100;2003;225.30156710086;999;i
XN;ehfghdi999;p0p100;2004;241.6587444465;999;i
XN;ehfghdi999;p0p100;2005;256.842881932268;999;i
XN;ehfghdi999;p0p100;2006;273.079959525058;999;i
XN;ehfghdi999;p0p100;2007;290.449899882;999;i
XN;ehfghdi999;p0p100;2008;300.598044200756;999;i
XN;ehfghdi999;p0p100;2009;311.605049160932;999;i
XN;ehfghdi999;p0p100;2010;323.553266584632;999;i
XN;ehfghdi999;p0p100;2011;336.533528499;999;i
XN;ehfghdi999;p0p100;2012;334.032296268469;999;i
XN;ehfghdi999;p0p100;2013;332.677731238159;999;i
XN;ehfghdi999;p0p100;2014;332.410052621;999;i
XN;ehfghdi999;p0p100;2015;340.127114472161;999;i
XN;ehfghdi999;p0p100;2016;337.075873082492;999;i
XN;ehfghdi999;p0p100;2017;363.206252677372;999;i
XN;ehfghdi999;p0p100;2018;370.366288479221;999;i
XN;ehfghdi999;p0p100;2019;376.34776023825;999;i
XN;ehfghdi999;p0p100;2020;358.703620222869;999;i
XN;ehfghgi999;p0p100;1980;916.068056562609;999;i
XN;ehfghgi999;p0p100;1981;850.576312570508;999;i
XN;ehfghgi999;p0p100;1982;872.317877448308;999;i
XN;ehfghgi999;p0p100;1983;880.570411326383;999;i
XN;ehfghgi999;p0p100;1984;833.779854177378;999;i
XN;ehfghgi999;p0p100;1985;817.193250115254;999;i
XN;ehfghgi999;p0p100;1986;830.12064131453;999;i
XN;ehfghgi999;p0p100;1987;847.203471633692;999;i
XN;ehfghgi999;p0p100;1988;879.742752732553;999;i
XN;ehfghgi999;p0p100;1989;906.611035359229;999;i
XN;ehfghgi999;p0p100;1990;926.060631954025;999;i
XN;ehfghgi999;p0p100;1991;959.952436280877;999;i
XN;ehfghgi999;p0p100;1992;1041.82770536225;999;i
XN;ehfghgi999;p0p100;1993;1074.28902185361;999;i
XN;ehfghgi999;p0p100;1994;1082.02378651103;999;i
XN;ehfghgi999;p0p100;1995;1068.35037919979;999;i
XN;ehfghgi999;p0p100;1996;1069.34645475611;999;i
XN;ehfghgi999;p0p100;1997;1086.47031434487;999;i
XN;ehfghgi999;p0p100;1998;1164.18089698116;999;i
XN;ehfghgi999;p0p100;1999;1135.03532961823;999;i
XN;ehfghgi999;p0p100;2000;1182.19524692695;999;i
XN;ehfghgi999;p0p100;2001;1162.23791698646;999;i
XN;ehfghgi999;p0p100;2002;1184.41387404216;999;i
XN;ehfghgi999;p0p100;2003;1335.13622907248;999;i
XN;ehfghgi999;p0p100;2004;1406.03769007265;999;i
XN;ehfghgi999;p0p100;2005;1487.07616273789;999;i
XN;ehfghgi999;p0p100;2006;1565.70182116402;999;i
XN;ehfghgi999;p0p100;2007;1646.72081322955;999;i
XN;ehfghgi999;p0p100;2008;1742.9467771779;999;i
XN;ehfghgi999;p0p100;2009;1747.48279178611;999;i
XN;ehfghgi999;p0p100;2010;1812.48344135966;999;i
XN;ehfghgi999;p0p100;2011;1840.14376216239;999;i
XN;ehfghgi999;p0p100;2012;1917.42422374215;999;i
XN;ehfghgi999;p0p100;2013;1926.69297554802;999;i
XN;ehfghgi999;p0p100;2014;1982.1234326298;999;i
XN;ehfghgi999;p0p100;2015;2035.53534841758;999;i
XN;ehfghgi999;p0p100;2016;2023.36491618916;999;i
XN;ehfghgi999;p0p100;2017;2077.45336491545;999;i
XN;ehfghgi999;p0p100;2018;2092.80587358508;999;i
XN;ehfghgi999;p0p100;2019;2111.72502820445;999;i
XN;ehfghgi999;p0p100;2020;2038.33245391821;999;i
XN;ehfghni999;p0p100;1990;562.506255642776;999;i
XN;ehfghni999;p0p100;1991;578.150130368413;999;i
XN;ehfghni999;p0p100;1992;634.424615959114;999;i
XN;ehfghni999;p0p100;1993;634.493942810858;999;i
XN;ehfghni999;p0p100;1994;633.606098400837;999;i
XN;ehfghni999;p0p100;1995;629.285053947498;999;i
XN;ehfghni999;p0p100;1996;631.041842997022;999;i
XN;ehfghni999;p0p100;1997;663.315102261323;999;i
XN;ehfghni999;p0p100;1998;699.21021831975;999;i
XN;ehfghni999;p0p100;1999;671.664842765175;999;i
XN;ehfghni999;p0p100;2000;704.967482507361;999;i
XN;ehfghni999;p0p100;2001;676.780420156316;999;i
XN;ehfghni999;p0p100;2002;708.52697124953;999;i
XN;ehfghni999;p0p100;2003;807.787873080645;999;i
XN;ehfghni999;p0p100;2004;843.746288565364;999;i
XN;ehfghni999;p0p100;2005;891.975540163165;999;i
XN;ehfghni999;p0p100;2006;950.452838188494;999;i
XN;ehfghni999;p0p100;2007;992.385211906534;999;i
XN;ehfghni999;p0p100;2008;1028.60141886422;999;i
XN;ehfghni999;p0p100;2009;1036.71347504316;999;i
XN;ehfghni999;p0p100;2010;1092.75191015448;999;i
XN;ehfghni999;p0p100;2011;1103.72624534398;999;i
XN;ehfghni999;p0p100;2012;1162.70337294405;999;i
XN;ehfghni999;p0p100;2013;1161.85937150321;999;i
XN;ehfghni999;p0p100;2014;1225.0389264131;999;i
XN;ehfghni999;p0p100;2015;1259.8613127263;999;i
XN;ehfghni999;p0p100;2016;1254.21909816968;999;i
XN;ehfghni999;p0p100;2017;1293.97262461987;999;i
XN;ehfghni999;p0p100;2018;1293.01157523525;999;i
XN;ehfghni999;p0p100;2019;1300.27215513537;999;i
XN;ehfghni999;p0p100;2020;1255.40134868528;999;i
XN;ehfghoi999;p0p100;1990;299.16291709475;999;i
XN;ehfghoi999;p0p100;1991;303.193059241982;999;i
XN;ehfghoi999;p0p100;1992;321.216129055921;999;i
XN;ehfghoi999;p0p100;1993;326.247699924257;999;i
XN;ehfghoi999;p0p100;1994;328.062143320924;999;i
XN;ehfghoi999;p0p100;1995;324.833618554042;999;i
XN;ehfghoi999;p0p100;1996;329.142704416278;999;i
XN;ehfghoi999;p0p100;1997;323.401839464301;999;i
XN;ehfghoi999;p0p100;1998;323.835959939942;999;i
XN;ehfghoi999;p0p100;1999;315.728529451883;999;i
XN;ehfghoi999;p0p100;2000;317.932349991754;999;i
XN;ehfghoi999;p0p100;2001;311.243283926082;999;i
XN;ehfghoi999;p0p100;2002;317.126369037597;999;i
XN;ehfghoi999;p0p100;2003;344.713602883032;999;i
XN;ehfghoi999;p0p100;2004;359.123787926911;999;i
XN;ehfghoi999;p0p100;2005;373.65061970766;999;i
XN;ehfghoi999;p0p100;2006;385.322177188393;999;i
XN;ehfghoi999;p0p100;2007;399.072244896777;999;i
XN;ehfghoi999;p0p100;2008;408.842057364675;999;i
XN;ehfghoi999;p0p100;2009;411.024331447744;999;i
XN;ehfghoi999;p0p100;2010;422.674452649057;999;i
XN;ehfghoi999;p0p100;2011;429.2614987264;999;i
XN;ehfghoi999;p0p100;2012;436.782105334029;999;i
XN;ehfghoi999;p0p100;2013;444.840417103864;999;i
XN;ehfghoi999;p0p100;2014;442.969217859028;999;i
XN;ehfghoi999;p0p100;2015;445.001158555007;999;i
XN;ehfghoi999;p0p100;2016;446.295769937404;999;i
XN;ehfghoi999;p0p100;2017;458.228793606236;999;i
XN;ehfghoi999;p0p100;2018;461.320558563631;999;i
XN;ehfghoi999;p0p100;2019;466.482599328762;999;i
XN;ehfghoi999;p0p100;2020;450.405648559491;999;i
XN;enfcari999;p0p100;1990;1126.8152997312;999;i
XN;enfcari999;p0p100;1991;1197.91198167177;999;i
XN;enfcari999;p0p100;1992;1312.42089732265;999;i
XN;enfcari999;p0p100;1993;1365.25869064514;999;i
XN;enfcari999;p0p100;1994;1376.43952437267;999;i
XN;enfcari999;p0p100;1995;1346.49289016169;999;i
XN;enfcari999;p0p100;1996;1344.15128677681;999;i
XN;enfcari999;p0p100;1997;1325.01873400155;999;i
XN;enfcari999;p0p100;1998;1450.9764592235;999;i
XN;enfcari999;p0p100;1999;1394.81615205048;999;i
XN;enfcari999;p0p100;2000;1450.83596278474;999;i
XN;enfcari999;p0p100;2001;1458.6867131521;999;i
XN;enfcari999;p0p100;2002;1496.79817853007;999;i
XN;enfcari999;p0p100;2003;1725.80815031827;999;i
XN;enfcari999;p0p100;2004;1851.84028516658;999;i
XN;enfcari999;p0p100;2005;1955.70537947406;999;i
XN;enfcari999;p0p100;2006;2086.50603209279;999;i
XN;enfcari999;p0p100;2007;2171.98390211412;999;i
XN;enfcari999;p0p100;2008;2346.12895010889;999;i
XN;enfcari999;p0p100;2009;2374.70936363898;999;i
XN;enfcari999;p0p100;2010;2492.66280251432;999;i
XN;enfcari999;p0p100;2011;2532.93507113591;999;i
XN;enfcari999;p0p100;2012;2683.43732389529;999;i
XN;enfcari999;p0p100;2013;2725.72864591792;999;i
XN;enfcari999;p0p100;2014;2868.65564415847;999;i
XN;enfcari999;p0p100;2015;2988.1332699756;999;i
XN;enfcari999;p0p100;2016;2956.35403123854;999;i
XN;enfcari999;p0p100;2017;3034.44861623785;999;i
XN;enfcari999;p0p100;2018;3064.30625640993;999;i
XN;enfcari999;p0p100;2019;3101.66547783533;999;i
XN;enfcari999;p0p100;2020;2992.02750977903;999;i
XN;enfghgi999;p0p100;1980;1828.08987425859;999;i
XN;enfghgi999;p0p100;1981;1660.26563221511;999;i
XN;enfghgi999;p0p100;1982;1697.14276979282;999;i
XN;enfghgi999;p0p100;1983;1700.27562993753;999;i
XN;enfghgi999;p0p100;1984;1583.61363274942;999;i
XN;enfghgi999;p0p100;1985;1535.74141430535;999;i
XN;enfghgi999;p0p100;1986;1545.20227033803;999;i
XN;enfghgi999;p0p100;1987;1543.13691372268;999;i
XN;enfghgi999;p0p100;1988;1603.4440251422;999;i
XN;enfghgi999;p0p100;1989;1656.55924729803;999;i
XN;enfghgi999;p0p100;1990;1677.37731007116;999;i
XN;enfghgi999;p0p100;1991;1752.91068724752;999;i
XN;enfghgi999;p0p100;1992;1889.33982968132;999;i
XN;enfghgi999;p0p100;1993;1940.74289759844;999;i
XN;enfghgi999;p0p100;1994;1952.39684283243;999;i
XN;enfghgi999;p0p100;1995;1909.67573222435;999;i
XN;enfghgi999;p0p100;1996;1909.60361538127;999;i
XN;enfghgi999;p0p100;1997;1872.48924983731;999;i
XN;enfghgi999;p0p100;1998;1991.47495145518;999;i
XN;enfghgi999;p0p100;1999;1919.2244691894;999;i
XN;enfghgi999;p0p100;2000;1976.8059978209;999;i
XN;enfghgi999;p0p100;2001;1977.94080488395;999;i
XN;enfghgi999;p0p100;2002;2025.12287128981;999;i
XN;enfghgi999;p0p100;2003;2305.84584081642;999;i
XN;enfghgi999;p0p100;2004;2465.07983172521;999;i
XN;enfghgi999;p0p100;2005;2592.53121143788;999;i
XN;enfghgi999;p0p100;2006;2748.96950016671;999;i
XN;enfghgi999;p0p100;2007;2859.66662710291;999;i
XN;enfghgi999;p0p100;2008;3056.2973188264;999;i
XN;enfghgi999;p0p100;2009;3098.14368492068;999;i
XN;enfghgi999;p0p100;2010;3242.30121653532;999;i
XN;enfghgi999;p0p100;2011;3301.87603126426;999;i
XN;enfghgi999;p0p100;2012;3471.44235681129;999;i
XN;enfghgi999;p0p100;2013;3531.26338611615;999;i
XN;enfghgi999;p0p100;2014;3679.45082418845;999;i
XN;enfghgi999;p0p100;2015;3806.03275468463;999;i
XN;enfghgi999;p0p100;2016;3771.35302806798;999;i
XN;enfghgi999;p0p100;2017;3871.97467452321;999;i
XN;enfghgi999;p0p100;2018;3908.15404447401;999;i
XN;enfghgi999;p0p100;2019;3957.36451065803;999;i
XN;enfghgi999;p0p100;2020;3817.61074827409;999;i
XN;enfghoi999;p0p100;1990;550.562010339953;999;i
XN;enfghoi999;p0p100;1991;554.998705575747;999;i
XN;enfghoi999;p0p100;1992;576.918932358673;999;i
XN;enfghoi999;p0p100;1993;575.484206953293;999;i
XN;enfghoi999;p0p100;1994;575.957318459757;999;i
XN;enfghoi999;p0p100;1995;563.182842062657;999;i
XN;enfghoi999;p0p100;1996;565.452328604459;999;i
XN;enfghoi999;p0p100;1997;547.470515835758;999;i
XN;enfghoi999;p0p100;1998;540.498492231672;999;i
XN;enfghoi999;p0p100;1999;524.408317138927;999;i
XN;enfghoi999;p0p100;2000;525.970035036165;999;i
XN;enfghoi999;p0p100;2001;519.254091731856;999;i
XN;enfghoi999;p0p100;2002;528.324692759739;999;i
XN;enfghoi999;p0p100;2003;580.037690498148;999;i
XN;enfghoi999;p0p100;2004;613.239546558624;999;i
XN;enfghoi999;p0p100;2005;636.825831963817;999;i
XN;enfghoi999;p0p100;2006;662.463468073911;999;i
XN;enfghoi999;p0p100;2007;687.682724988785;999;i
XN;enfghoi999;p0p100;2008;710.168368717508;999;i
XN;enfghoi999;p0p100;2009;723.434321281696;999;i
XN;enfghoi999;p0p100;2010;749.638414020997;999;i
XN;enfghoi999;p0p100;2011;768.940960128355;999;i
XN;enfghoi999;p0p100;2012;788.005032915997;999;i
XN;enfghoi999;p0p100;2013;805.534740198236;999;i
XN;enfghoi999;p0p100;2014;810.795180029972;999;i
XN;enfghoi999;p0p100;2015;817.899484709031;999;i
XN;enfghoi999;p0p100;2016;814.998996829436;999;i
XN;enfghoi999;p0p100;2017;837.526058285353;999;i
XN;enfghoi999;p0p100;2018;843.84778806408;999;i
XN;enfghoi999;p0p100;2019;855.699032822698;999;i
XN;enfghoi999;p0p100;2020;825.583238495054;999;i
XN;enncari999;p0p100;1990;77.488785011202;999;i
XN;enncari999;p0p100;1991;38.9063590797737;999;i
XN;enncari999;p0p100;1992;80.1841761066445;999;i
XN;enncari999;p0p100;1993;23.2989492851426;999;i
XN;enncari999;p0p100;1994;-16.1303863313261;999;i
XN;enncari999;p0p100;1995;-17.7614673903059;999;i
XN;enncari999;p0p100;1996;-63.6434620231871;999;i
XN;enncari999;p0p100;1997;-68.7792031984484;999;i
XN;enncari999;p0p100;1998;-26.2076536244959;999;i
XN;enncari999;p0p100;1999;-163.096291581525;999;i
XN;enncari999;p0p100;2000;-249.485285583264;999;i
XN;enncari999;p0p100;2001;-246.903150719905;999;i
XN;enncari999;p0p100;2002;-235.40872135793;999;i
XN;enncari999;p0p100;2003;-119.841006001727;999;i
XN;enncari999;p0p100;2004;-131.109669009416;999;i
XN;enncari999;p0p100;2005;-130.123464829939;999;i
XN;enncari999;p0p100;2006;-123.951888131206;999;i
XN;enncari999;p0p100;2007;-54.3674827658777;999;i
XN;enncari999;p0p100;2008;-34.7887081631059;999;i
XN;enncari999;p0p100;2009;-103.420477785016;999;i
XN;enncari999;p0p100;2010;-68.843078909675;999;i
XN;enncari999;p0p100;2011;-79.3430724480924;999;i
XN;enncari999;p0p100;2012;-152.135467720711;999;i
XN;enncari999;p0p100;2013;-88.886616898084;999;i
XN;enncari999;p0p100;2014;-94.6589888015252;999;i
XN;enncari999;p0p100;2015;-81.2127281684027;999;i
XN;enncari999;p0p100;2016;-75.5149368094601;999;i
XN;enncari999;p0p100;2017;-111.859800530145;999;i
XN;enncari999;p0p100;2018;-122.598428358067;999;i
XN;enncari999;p0p100;2019;-127.290799051322;999;i
XN;enncari999;p0p100;2020;-121.126166155457;999;i
XN;ennghgi999;p0p100;1980;27.2298742585872;999;i
XN;ennghgi999;p0p100;1981;151.115632215114;999;i
XN;ennghgi999;p0p100;1982;190.35276979282;999;i
XN;ennghgi999;p0p100;1983;214.355629937525;999;i
XN;ennghgi999;p0p100;1984;180.413632749416;999;i
XN;ennghgi999;p0p100;1985;78.0414143053551;999;i
XN;ennghgi999;p0p100;1986;9.30227033803181;999;i
XN;ennghgi999;p0p100;1987;-0.163086277320737;999;i
XN;ennghgi999;p0p100;1988;-0.15597485779714;999;i
XN;ennghgi999;p0p100;1989;-17.4407527019662;999;i
XN;ennghgi999;p0p100;1990;-73.5092046488448;999;i
XN;ennghgi999;p0p100;1991;-105.024935344479;999;i
XN;ennghgi999;p0p100;1992;-88.9968915346819;999;i
XN;ennghgi999;p0p100;1993;-134.906843761564;999;i
XN;ennghgi999;p0p100;1994;-199.07306787157;999;i
XN;ennghgi999;p0p100;1995;-206.278625327649;999;i
XN;ennghgi999;p0p100;1996;-254.891133418729;999;i
XN;ennghgi999;p0p100;1997;-275.00868736269;999;i
XN;ennghgi999;p0p100;1998;-201.909161392824;999;i
XN;ennghgi999;p0p100;1999;-350.587974442598;999;i
XN;ennghgi999;p0p100;2000;-445.515250547099;999;i
XN;ennghgi999;p0p100;2001;-437.649058988049;999;i
XN;ennghgi999;p0p100;2002;-417.18402859819;999;i
XN;ennghgi999;p0p100;2003;-305.303315503579;999;i
XN;ennghgi999;p0p100;2004;-313.770122450792;999;i
XN;ennghgi999;p0p100;2005;-316.097632866123;999;i
XN;ennghgi999;p0p100;2006;-312.188420057295;999;i
XN;ennghgi999;p0p100;2007;-224.884757777093;999;i
XN;ennghgi999;p0p100;2008;-194.320339445598;999;i
XN;ennghgi999;p0p100;2009;-244.98615650332;999;i
XN;ennghgi999;p0p100;2010;-220.504664888678;999;i
XN;ennghgi999;p0p100;2011;-216.702112319737;999;i
XN;ennghgi999;p0p100;2012;-292.630434804714;999;i
XN;ennghgi999;p0p100;2013;-220.951876699848;999;i
XN;ennghgi999;p0p100;2014;-234.563808771553;999;i
XN;ennghgi999;p0p100;2015;-219.713243459372;999;i
XN;ennghgi999;p0p100;2016;-254.915939980024;999;i
