country;variable;percentile;year;value;age;pop
XR;ehfcari999;p0p100;1990;1202.92553616989;999;i
XR;ehfcari999;p0p100;1991;1129.31478891859;999;i
XR;ehfcari999;p0p100;1992;418.41660668923;999;i
XR;ehfcari999;p0p100;1993;604.412347682249;999;i
XR;ehfcari999;p0p100;1994;598.80218760029;999;i
XR;ehfcari999;p0p100;1995;589.745345267487;999;i
XR;ehfcari999;p0p100;1996;708.032266921441;999;i
XR;ehfcari999;p0p100;1997;701.006517993209;999;i
XR;ehfcari999;p0p100;1998;671.732498366093;999;i
XR;ehfcari999;p0p100;1999;622.803421318553;999;i
XR;ehfcari999;p0p100;2000;583.331057204781;999;i
XR;ehfcari999;p0p100;2001;662.446637709404;999;i
XR;ehfcari999;p0p100;2002;677.738228348438;999;i
XR;ehfcari999;p0p100;2003;700.92661719088;999;i
XR;ehfcari999;p0p100;2004;707.977108582436;999;i
XR;ehfcari999;p0p100;2005;752.602748308339;999;i
XR;ehfcari999;p0p100;2006;796.791723908835;999;i
XR;ehfcari999;p0p100;2007;842.386969841998;999;i
XR;ehfcari999;p0p100;2008;851.803423025955;999;i
XR;ehfcari999;p0p100;2009;772.569796668598;999;i
XR;ehfcari999;p0p100;2010;805.91147588036;999;i
XR;ehfcari999;p0p100;2011;833.291591318718;999;i
XR;ehfcari999;p0p100;2012;889.201879674046;999;i
XR;ehfcari999;p0p100;2013;890.923274410675;999;i
XR;ehfcari999;p0p100;2014;857.036886055313;999;i
XR;ehfcari999;p0p100;2015;845.156486957979;999;i
XR;ehfcari999;p0p100;2016;858.959242786593;999;i
XR;ehfcari999;p0p100;2017;870.129247228404;999;i
XR;ehfcari999;p0p100;2018;859.414024735489;999;i
XR;ehfcari999;p0p100;2019;851.094855021758;999;i
XR;ehfcari999;p0p100;2020;791.518215170235;999;i
XR;ehfghdi999;p0p100;1990;482.425702314806;999;i
XR;ehfghdi999;p0p100;1991;450.677596835126;999;i
XR;ehfghdi999;p0p100;1992;382.263613912063;999;i
XR;ehfghdi999;p0p100;1993;349.623491797097;999;i
XR;ehfghdi999;p0p100;1994;301.409427976493;999;i
XR;ehfghdi999;p0p100;1995;288.744665919494;999;i
XR;ehfghdi999;p0p100;1996;277.577381851062;999;i
XR;ehfghdi999;p0p100;1997;262.423321863906;999;i
XR;ehfghdi999;p0p100;1998;258.704221713189;999;i
XR;ehfghdi999;p0p100;1999;254.772836959631;999;i
XR;ehfghdi999;p0p100;2000;251.675251955891;999;i
XR;ehfghdi999;p0p100;2001;258.738653455452;999;i
XR;ehfghdi999;p0p100;2002;256.451852409642;999;i
XR;ehfghdi999;p0p100;2003;263.249706451681;999;i
XR;ehfghdi999;p0p100;2004;265.75014284619;999;i
XR;ehfghdi999;p0p100;2005;260.719618531447;999;i
XR;ehfghdi999;p0p100;2006;255.936068253753;999;i
XR;ehfghdi999;p0p100;2007;251.4056383164;999;i
