country;variable;percentile;year;value;age;pop
XS;ehfcari999;p0p100;1990;600.606217247836;999;i
XS;ehfcari999;p0p100;1991;622.114990035154;999;i
XS;ehfcari999;p0p100;1992;690.6459616116;999;i
XS;ehfcari999;p0p100;1993;694.603254279087;999;i
XS;ehfcari999;p0p100;1994;721.239170684004;999;i
XS;ehfcari999;p0p100;1995;759.066988617805;999;i
XS;ehfcari999;p0p100;1996;821.007908625482;999;i
XS;ehfcari999;p0p100;1997;1097.08080287276;999;i
XS;ehfcari999;p0p100;1998;790.708297715567;999;i
XS;ehfcari999;p0p100;1999;913.933888115927;999;i
XS;ehfcari999;p0p100;2000;954.124843361976;999;i
XS;ehfcari999;p0p100;2001;971.735072526979;999;i
XS;ehfcari999;p0p100;2002;1003.24486219464;999;i
XS;ehfcari999;p0p100;2003;1061.68680905428;999;i
XS;ehfcari999;p0p100;2004;1115.72309876954;999;i
XS;ehfcari999;p0p100;2005;1203.93018143376;999;i
XS;ehfcari999;p0p100;2006;1234.0045254928;999;i
XS;ehfcari999;p0p100;2007;1264.78709467853;999;i
XS;ehfcari999;p0p100;2008;1359.23159995146;999;i
XS;ehfcari999;p0p100;2009;1419.64674288668;999;i
XS;ehfcari999;p0p100;2010;1456.64801166853;999;i
XS;ehfcari999;p0p100;2011;1533.95061560584;999;i
XS;ehfcari999;p0p100;2012;1660.68647225828;999;i
XS;ehfcari999;p0p100;2013;1648.52704936398;999;i
XS;ehfcari999;p0p100;2014;1746.50577823043;999;i
XS;ehfcari999;p0p100;2015;1834.93091389385;999;i
XS;ehfcari999;p0p100;2016;1925.29408749307;999;i
XS;ehfcari999;p0p100;2017;1979.63200854356;999;i
XS;ehfcari999;p0p100;2018;2078.6796895641;999;i
XS;ehfcari999;p0p100;2019;2142.41972580662;999;i
XS;ehfcari999;p0p100;2020;1992.45034500016;999;i
XS;ehfghdi999;p0p100;1990;112.338581124783;999;i
XS;ehfghdi999;p0p100;1991;122.748242561724;999;i
